Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Mileage Allowance UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110324,149.40,ECO - Non Proliferation Awareness Seminars-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110324,26.50,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110324,108.34,ECO - Non Proliferation Awareness Seminars-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110324,27.15,ECO - Non Proliferation Awareness Seminars-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",110325,12.00,Default-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110327,4.24,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Rail Travel UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110327,7.93,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110327,10.90,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110328,23.70,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110329,5.94,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Rail Travel UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110329,28.05,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110329,49.58,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Taxi Services UK,Business & Local Growth - Advanced Manufacturing Services,"Personal Expense, Name Witheld",110329,14.01,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",110330,15.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",110330,7.45,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",110330,5.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110331,3.59,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110331,14.10,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110331,4.89,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Taxi Services UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110331,8.00,F&C Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110332,2.56,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110332,18.80,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110332,12.45,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110333,9.15,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110333,14.10,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110333,16.05,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110334,8.26,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110334,18.80,F&C Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Finance & Commercial Group - Projects & Commercial Directorate,"Personal Expense, Name Witheld",110334,20.54,F&C Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110337,180.00,BRDO: Developing Markets-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",110338,162.45,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",110338,4.60,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",110338,5.00,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",110338,5.00,Legal Services Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Mileage Allowance UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",110339,27.00,Default-Mileage Allowance UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110340,10.87,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110340,2.30,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110340,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110340,13.95,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110341,11.60,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110341,2.30,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110341,5.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Executive (BRE),"Personal Expense, Name Witheld",110341,13.50,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110342,7.55,E&M Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Other Travel,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110342,48.05,E&M Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence UK,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",110342,19.90,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Recoveries Account - Other payables,Corporate Payments,UK TRADE & INVESTMENT,110356,481.82,Default-Recoveries Account - Other payables,NP10 8QQ,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Interest receivable - PCs - Loans (Consolidated Fund),Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD,110357,-5625.82,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),S49 1PF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Additions - Other Loans - Public Corporations,Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD,110357,82000000.00,POL: Voted Loans-Additions - Other Loans - Public Corporations,S49 1PF,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Business Rates,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),110358,1298.50,Growth Vouchers-Business Rates,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),110358,25750.00,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Legal Services and Advice Agency,Business & Local Growth - Advanced Manufacturing Services,HERBERT SMITH FREEHILLS LLP,110359,35012.80,AUTO:Automotive Assistance-Legal Services and Advice Agency,EC2A 2EG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Technology Directorate,FCO SERVICES,110363,80047.57,F&C Devolved Admin-ICT Infrastructure Specific Service,MK19 7BH,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Programme and Projects Service,Business & Local Growth - Digital Economy Unit,INFORMATION TECHNOLOGY TELECOMMUNICATIONS AND ELECTRONICS ASSOCIATION T/A TECHUK,110364,25000.00,Web: Cabinet Office Funding-Programme and Projects Service,EC4A 4AD,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Facilities Management Contract,Knowledge & Innovation Group - Innovation Directorate,AMEY COMMUNITY LTD,110365,356330.60,NMS Other-Facilities Management Contract,OX4 4DQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,IT Infrastructure Support,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110366,629.84,F&C Devolved Admin-IT Infrastructure Support,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Development & Support (PFI),Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110368,1231.87,F&C Devolved Admin-Application Development & Support (PFI),CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110369,284.40,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/08/2015,Health & Safety Training,Finance & Commercial Group - Estates,CAPITA BUSINESS SERVICES LTD,110370,53.83,F&C Devolved Admin-Health & Safety Training,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Standard Desktop Services,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110371,768.86,F&C Devolved Admin-Standard Desktop Services,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110372,7543.73,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Clearing Account   - Cost - Furniture & Fittings,Finance & Commercial Group - Estates,SENATOR INTERNATIONAL LTD,110373,3133.80,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Furniture & Fittings,BB5 5YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Learning and Dev - CS Skills,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,110375,170.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110376,7822.58,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110378,7543.73,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110379,774.19,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Support Service,Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110380,774.19,F&C Devolved Admin-Application Support Service,CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,ICT Maintenance & Upkeep,Enterprise & Skills Group - Enterprise Directorate,BIT ZESTY LTD,110381,3037.00,Queen's Award: Making Of Presentational Items-ICT Maintenance & Upkeep,WC1X 9LW,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Training And Development Expenditure,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,110382,137.00,E&M Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Application Development & Support (PFI),Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110383,1231.87,F&C Devolved Admin-Application Development & Support (PFI),CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Standard Desktop Services (PFI),Finance & Commercial Group - Information and Technology Directorate,CGI IT UK LTD,110384,509.74,F&C Devolved Admin-Standard Desktop Services (PFI),CF31 9AP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,THE WELLCOME TRUST LTD,110392,-162.54,UKCDS-Current Grants To Private Sector - NPISH,NW1 2BE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,THE WELLCOME TRUST LTD,110392,195.05,UKCDS-Current Grants To Private Sector - NPISH,NW1 2BE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,THE WELLCOME TRUST LTD,110392,11483.06,UKCDS-Current Grants To Private Sector - NPISH,NW1 2BE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,THE BRITISH COUNCIL,110393,1000000.00,"India, South Africa, Gulf, Hespal and UKCDS-Current Grants To Private Sector - NPISH",SW1A 2BN,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Facilities Management Contract,Knowledge & Innovation Group - Innovation Directorate,AMEY COMMUNITY LTD,110394,14122.76,NMS Other-Facilities Management Contract,OX4 4DQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Facilities Management Contract,Knowledge & Innovation Group - Innovation Directorate,AMEY COMMUNITY LTD,110401,829.83,NMS Other-Facilities Management Contract,OX4 4DQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Professional Training,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",THE WHITEHALL AND INDUSTRY GROUP,110453,450.00,PSHE Devolved Admin-Professional Training,SW1H 9EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,THE BRITISH COUNCIL,110464,310000.00,"China, Hong Kong and Indonesia-Current Grants To Private Sector - NPISH",SW1A 2BN,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Telecoms,Finance & Commercial Group - UK Shared Business Services,BRITISH TELECOMMUNICATIONS plc (BT),110465,81.00,F&C Devolved Admin-Telecoms,DH98 1BT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110474,328.50,BRDO: Better Business for All-Mileage Allowance UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110474,43.80,BRDO: Better Business for All-Rail Travel UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence Overseas,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110474,63.79,BRDO: Better Business for All-Subsistence Overseas,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110475,11.20,BRDO: PA System Support-Subsistence UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",110475,43.00,BRDO: PA System Support-Taxi Services UK,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Leasing of Reprographic Equipment,Finance & Commercial Group - Estates,THE DANWOOD GROUP LTD T/A DANWOOD GROUP,110480,172.24,F&C Devolved Admin-Leasing of Reprographic Equipment,LN6 3DG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Leasing of Reprographic Equipment,Finance & Commercial Group - Estates,THE DANWOOD GROUP LTD T/A DANWOOD GROUP,110481,229.59,F&C Devolved Admin-Leasing of Reprographic Equipment,LN6 3DG,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other IT Consultancy,Enterprise & Skills Group - Enterprise Directorate,ZUHLKE ENGINEERING LTD,110487,2790.69,Growth Vouchers-Other IT Consultancy,W1T 4HD,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2015,Security Clearance Costs,Finance & Commercial Group - Information and Technology Directorate,FCO SERVICES,110522,13784.00,F&C Devolved Admin-Security Clearance Costs,MK19 7BH,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2015,Security Clearance Costs,Finance & Commercial Group - Information and Technology Directorate,FCO SERVICES,110523,7793.00,F&C Devolved Admin-Security Clearance Costs,MK19 7BH,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2015,Security Clearance Costs,Finance & Commercial Group - Information and Technology Directorate,FCO SERVICES,110524,11686.00,F&C Devolved Admin-Security Clearance Costs,MK19 7BH,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,External Legal Advice and Service,Economics & Markets - Labour Market,CLIVE SHELDON T/A CD SHELDON PROFESSIONAL,110525,2190.00,E&M Devolved Admin-External Legal Advice and Service,EC4Y 7EQ,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,110532,9.87,E&M Devolved Admin-Gas,TS19 1JA,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,110532,5.54,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,110532,59.23,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,US-UK FULBRIGHT COMMISSION,110544,50000.00,International Scholarships (Commonwealth)-Current Grants To Private Sector - NPISH,SW8 5BN,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Consultancy Expenditure,Enterprise & Skills Group - Vocational Education Directorate,DR DAVID COLLINS,110545,929.05,Quality Improvement Reform-Consultancy Expenditure,OX18 4TT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Consultancy Expenditure,Enterprise & Skills Group - Vocational Education Directorate,DR DAVID COLLINS,110545,7200.00,Quality Improvement Reform-Consultancy Expenditure,OX18 4TT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2015,Publications,Legal Services - Legal Services,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) LTD),110550,294.10,Legal Services Admin-Publications,SM2 5AS,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/08/2015,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,SCOTTISH ASSOCIATION CITIZENS ADVICE BUREAUX,110551,632515.00,CAS: Bureaux - Scotland-Current Grants To Private Sector - NPISH,EH7 4GB,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Business & Local Growth - Digital Economy Unit,E-SKILLS UK,110552,3300.00,Tech Sector Support-Current Grants To Private Sector - NPISH,SW1E 6DR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Current Grants To Private Sector - NPISH,Business & Local Growth - Digital Economy Unit,E-SKILLS UK,110553,17515.20,Tech Sector Support-Current Grants To Private Sector - NPISH,SW1E 6DR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/08/2015,Publications,Legal Services - Legal Services,LEXISNEXIS (A DIVISION OF REED ELSEVIER (UK) LTD),110554,254.15,Legal Services Admin-Publications,SM2 5AS,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Rail Travel UK,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110557,3.60,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110557,1.60,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110558,1.80,K&I Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110558,2.35,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Subsistence UK,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110558,9.59,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Taxi Services UK,Business & Local Growth - Local Growth Directorate,"Personal Expense, Name Witheld",110558,45.50,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110559,3.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/08/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",110559,5.80,PSHE Devolved Admin-Other Travel,,EMPLOYEE,
