Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/02/2014,Air Command,Estate management,SODEXO LTD,M50 0AL,307324,Estate + facilities management services - accommodation inventory + service,829.57
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,304831,Spend on Inventory - General,821.95
Ministry of Defence,Ministry of Defence,14/02/2014,Air Command,Estate management,SODEXO LTD,M50 0AL,306253,Estate + facilities management services - accommodation inventory + service,813.54
Ministry of Defence,Ministry of Defence,03/02/2014,JFC,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,301565,Works services - excluding United States forces/NATO + married quarters,795.74
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,310589,Cost of other material consumed,794.34
Ministry of Defence,Ministry of Defence,18/02/2014,Land Forces,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,306994,Spend on Inventory - General,776.38
Ministry of Defence,Ministry of Defence,20/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,308320,Cost of other material consumed,774.97
Ministry of Defence,Ministry of Defence,03/02/2014,Navy Command,Civilian short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,301731,Civilian short term detached duty,769.40
Ministry of Defence,Ministry of Defence,10/02/2014,HO+CS,Fees for professional services,BROOK STREET (UK) LIMITED,AL1 4JB,303821,Fees for professional services excluding legal fees,768.84
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,WATSON PETROLEUM LTD,SN15 5DN,306338,Utilities consumed - liquid petroleum gas,768.33
Ministry of Defence,Ministry of Defence,10/02/2014,Air Command,IT and communication services,INSIGHT DIRECT (U K) LTD,S9 2BU,303948,Computer equipment costing below the capitalisation threshold,760.14
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Externally delivered education and training,OPEN UNIVERSITY (THE),MK7 6BT,308661,External military training ,755.00
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Military short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018322,Military short term detached duty,753.55
Ministry of Defence,Ministry of Defence,10/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",SODEXO LTD,M50 0AL,304140,Military short term detached duty,751.50
Ministry of Defence,Ministry of Defence,21/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,308828,Cost of other material consumed,745.08
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Cost of claims/compensation and related expenses against MOD,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Cost of claims/compensation and related expenses against MOD,739.14
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,Estate management,SODEXO LTD,M50 0AL,311037,Estate + facilities management services - accommodation inventory + service,738.03
Ministry of Defence,Ministry of Defence,19/02/2014,HO+CS,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,307535,Estate core services charge,726.52
Ministry of Defence,Ministry of Defence,20/02/2014,Navy Command,Purchase of inventory and services ,XMA LTD,NG11 7EP,308320,Cost of other material consumed,714.64
Ministry of Defence,Ministry of Defence,26/02/2014,Land Forces,Fees for professional services,QINETIQ LIMITED,GU14 0LX,310387,Fees for professional services excluding legal fees,710.68
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,311234,Spend on Inventory - General,710.36
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Externally delivered education and training,CAPITA BUSINESS SERVICES LTD,DL1 9HN,307493,External military training ,708.00
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,IT and communication services,ASPIRE DEFENCE LIMITED,SP9 7QD,305292,IT and communications private finance initiative - service concession arrangements service charge,706.50
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Food and clothing,SODEXO LTD,M50 0AL,306253,Cost of clothing and textile services received,704.29
Ministry of Defence,Ministry of Defence,05/02/2014,Air Command,IT and communication services,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,302245,Line + telephone rental including commercial charge for use of radio frequencies,703.57
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,IT and communication services,PROBRAND LIMITED,B1 3BP,308217,Computer equipment costing below the capitalisation threshold,702.41
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Externally delivered education and training,CAPITA BUSINESS SERVICES LTD,DL1 9HN,305357,External training - civilian,700.00
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,Externally delivered education and training,CAPITA BUSINESS SERVICES LTD,DL1 9HN,305357,External military training ,700.00
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Spend on Inventory - General,E.P.BARRUS LTD,OX26 4UR,308466,Spend on Inventory - General,697.75
Ministry of Defence,Ministry of Defence,27/02/2014,JFC,IT and communication services,CANON (UK) LIMITED,RH2 8BF,310623,Computer equipment costing below the capitalisation threshold,693.75
Ministry of Defence,Ministry of Defence,18/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",ELIOR UK PLC,SK11 6ET,307069,Military short term detached duty,693.50
Ministry of Defence,Ministry of Defence,26/02/2014,Navy Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,309952,Consumption of medical dental and veterinary inventory,691.48
Ministry of Defence,Ministry of Defence,06/02/2014,Land Forces,IT and communication services,KELWAY (UK) LIMITED,EC4M 7RB,302899,Computer equipment costing below the capitalisation threshold,687.16
Ministry of Defence,Ministry of Defence,28/02/2014,Navy Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,311194,Cost of other material consumed,686.11
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Military short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018344,Military short term detached duty,683.54
Ministry of Defence,Ministry of Defence,27/02/2014,JFC,Spend on Inventory - General,L WHITAKER SERVICES LIMITED,BB1 2QE,310828,Spend on Inventory - General,678.84
Ministry of Defence,Ministry of Defence,11/02/2014,Land Forces,Estate management,ELIOR UK PLC,SK11 6ET,304384,Estate + facilities management services - accommodation inventory + service,678.13
Ministry of Defence,Ministry of Defence,07/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,303747,Cost of other material consumed,672.84
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Civilian short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018375,Civilian short term detached duty,670.29
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,RICOH UK.LIMITED,NN4 7YL,305125,Estate + facilities management services - accommodation inventory + service,669.86
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Civilian short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,309326,Civilian short term detached duty,662.50
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,303263,Cost of other material consumed,658.88
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,"Transportation of personnel, freight and travel expenses",DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,304345,"Civilian permanent in the public interest movement including removal expenses, legal costs and transfer grants",653.91
Ministry of Defence,Ministry of Defence,26/02/2014,Land Forces,Building maintenance and accommodation stores,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,310195,Building maintenance accommodation inventory,651.52
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Payment of utilities,BRITISH GAS TRADING LIMITED,OX4 2JY,308925,Utilities consumed - electricity,640.69
Ministry of Defence,Ministry of Defence,06/02/2014,JFC,Fees for professional services,TNT UK LIMITED,BL0 9AR,303151,Fees for professional services excluding legal fees,640.00
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Fees for professional services excluding legal fees,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Fees for professional services excluding legal fees,637.90
Ministry of Defence,Ministry of Defence,12/02/2014,Navy Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,304735,Consumption of medical dental and veterinary inventory,637.70
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AEROFLEX LIMITED,SG1 2AN,303203,Equipment support non-project costs,631.73
Ministry of Defence,Ministry of Defence,21/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,308828,Cost of other material consumed,630.58
Ministry of Defence,Ministry of Defence,24/02/2014,Navy Command,Food and clothing,TURNER VIRR & CO. LTD,LS25 2DY,309451,Cost of purchasing and repairing clothing,630.18
Ministry of Defence,Ministry of Defence,10/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,304209,Cost of other material consumed,630.10
Ministry of Defence,Ministry of Defence,13/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,305799,Cost of other material consumed,626.92
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Estate management,SODEXO LTD,M50 0AL,303648,Estate + facilities management services - accommodation inventory + service,625.15
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Rental of plant and machinery,RICOH UK.LIMITED,NN4 7YL,305125,Plant + machinery operating lease,625.12
Ministry of Defence,Ministry of Defence,14/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,306347,Cost of other material consumed,615.10
Ministry of Defence,Ministry of Defence,26/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,310510,Cost of other material consumed,614.14
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Spend on Inventory - General,FORCE PROTECTION EUROPE LIMITED,CV31 1FQ,307084,Spend on Inventory - General,611.71
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Estate management,ASPIRE DEFENCE LIMITED,SP9 7QD,304758,Works - estate management,608.18
Ministry of Defence,Ministry of Defence,17/02/2014,Air Command,Military short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,306787,Military short term detached duty,608.10
Ministry of Defence,Ministry of Defence,25/02/2014,HO+CS,Fees for professional services,BROOK STREET (UK) LIMITED,AL1 4JB,309578,Fees for professional services excluding legal fees,607.92
Ministry of Defence,Ministry of Defence,04/02/2014,HO+CS,Utilities consumed - electricity,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018288,Utilities consumed - electricity,605.42
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,"Transportation of personnel, freight and travel expenses",DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,310663,"Civilian permanent in the public interest movement including removal expenses, legal costs and transfer grants",605.41
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Payment of utilities,BRITISH GAS TRADING LIMITED,LE19 1ZY,305882,Utilities consumed - gas,605.28
Ministry of Defence,Ministry of Defence,21/02/2014,HO+CS,Military short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018929,Military short term detached duty,602.61
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,IT and communication services,COMPUTACENTER (UK) LIMITED,SE1 8HL,310650,Computer equipment costing below the capitalisation threshold,601.87
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Utilities consumed - gas,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018343,Utilities consumed - gas,597.75
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Line + telephone rental including commercial charge for use of radio frequencies,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018364,Line + telephone rental including commercial charge for use of radio frequencies,597.23
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,"Public relations, including marketing and advertising",UNIVERSITY OF SOUTHAMPTON,SO17 1BJ,308813,Public relations services including items such as sales marketing and advertising,597.00
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Equipment support non-project costs,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Equipment support non-project costs,589.25
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,303800,Cost of other material consumed,586.84
Ministry of Defence,Ministry of Defence,19/02/2014,JFC,Purchase of inventory and services ,XMA LTD,NG11 7EP,307866,Cost of other material consumed,583.53
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Utilities consumed - electricity,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Utilities consumed - electricity,581.87
Ministry of Defence,Ministry of Defence,26/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,310510,Cost of other material consumed,578.84
Ministry of Defence,Ministry of Defence,14/02/2014,Navy Command,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,305869,Cost of other material consumed,576.27
Ministry of Defence,Ministry of Defence,14/02/2014,JFC,Food and clothing,SERCO LIMITED,RG27 9UY,306245,Cost of clothing and textile services received,572.77
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,310519,Consumption of medical dental and veterinary inventory,568.07
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,307535,Estate core services charge,567.02
Ministry of Defence,Ministry of Defence,25/02/2014,Air Command,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,309593,Spend on Inventory - General,565.63
Ministry of Defence,Ministry of Defence,12/02/2014,HO+CS,IT and communication services,XEROX (UK) LIMITED,BN13 1QG,305237,Computer equipment costing below the capitalisation threshold,562.38
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Defence military assistance fund international subscriptions and other payments,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018365,Defence military assistance fund international subscriptions and other payments,562.15
Ministry of Defence,Ministry of Defence,17/02/2014,HO+CS,Civilian short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018385,Civilian short term detached duty,561.21
Ministry of Defence,Ministry of Defence,18/02/2014,Air Command,Spend on Inventory - General,CARWOOD MOTOR UNITS LTD,CV3 2RQ,306994,Spend on Inventory - General,561.17
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,305314,Cost of other material consumed,558.75
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,SERCO LIMITED,RG27 9UY,307776,Equipment support non-project costs,552.55
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Estate management,ELIOR UK PLC,SK11 6ET,308472,Estate + facilities management services - accommodation inventory + service,546.76
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Civilian short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,306787,Civilian short term detached duty,546.30
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,307535,Estate core services charge,540.96
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",SODEXO LTD,M50 0AL,311037,Military short term detached duty,540.21
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Utilities consumed - water + sewage,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018343,Utilities consumed - water + sewage,534.10
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,304871,Works - estate management,533.96
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Utilities consumed - electricity,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018377,Utilities consumed - electricity,527.39
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,"Transportation of personnel, freight and travel expenses",CITYSPRINT (UK) LIMITED,RH1 1SH,304842,Freight movement costs,527.00
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,311193,Spend on Inventory - General,524.33
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,IT and communication services,PROBRAND LIMITED,B1 3BP,305648,Computer equipment costing below the capitalisation threshold,517.82
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,308385,Cost of other material consumed,510.43
Ministry of Defence,Ministry of Defence,26/02/2014,Navy Command,Spend on Inventory - General,REXEL UK LTD,EN6 9EB,310402,Spend on Inventory - General,510.12
Ministry of Defence,Ministry of Defence,26/02/2014,JFC,Spend on Inventory - General,REXEL UK LTD,EN6 9EB,310402,Spend on Inventory - General,509.52
Ministry of Defence,Ministry of Defence,17/02/2014,Navy Command,Purchase of inventory and services ,AAH PHARMACEUTICALS LTD,CV2 2TX,306355,Consumption of medical dental and veterinary inventory,508.36
Ministry of Defence,Ministry of Defence,11/02/2014,DEFENCE INFRASTRUCTURE,Utilities consumed - electricity,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018343,Utilities consumed - electricity,505.96
Ministry of Defence,Ministry of Defence,27/02/2014,Air Command,Spend on Inventory - General,TURNER VIRR & CO. LTD,LS25 2DY,311091,Spend on Inventory - General,503.58
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,302674,Equipment support project costs,500.88
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Military short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018365,Military short term detached duty,498.86
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Line + telephone rental including commercial charge for use of radio frequencies,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018377,Line + telephone rental including commercial charge for use of radio frequencies,497.77
Ministry of Defence,Ministry of Defence,19/02/2014,Air Command,Spend on Inventory - General,BUNZL UK LIMITED,W1H 7JT,180626,Spend on Inventory - General,496.08
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,IT and communication services,XEROX (UK) LIMITED,BN13 1QG,305237,IT Services -internal costs,494.52
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,IT and communication services,SOFTWARE BOX LIMITED,YO61 1ET,305710,Computer equipment costing below the capitalisation threshold,494.40
Ministry of Defence,Ministry of Defence,17/02/2014,JFC,Administration,SERCO LIMITED,RG27 9UY,306824,General administration,493.98
Ministry of Defence,Ministry of Defence,20/02/2014,Air Command,Food and clothing,ARAMARK LTD,LS16 6QY,307905,Cost of clothing and textile services received,491.05
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Utilities consumed - heating oil,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018365,Utilities consumed - heating oil,490.43
Ministry of Defence,Ministry of Defence,26/02/2014,HO+CS,Movement of service personnel,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018956,Movement of service personnel,483.42
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,307927,Cost of other material consumed,480.72
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Food and clothing,ELIOR UK PLC,SK11 6ET,304907,Cost of clothing and textile services received,475.46
Ministry of Defence,Ministry of Defence,11/02/2014,Defence Equipment + Support,Spend on Inventory - General,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,304257,Spend on Inventory - General,467.04
Ministry of Defence,Ministry of Defence,04/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,301908,Cost of other material consumed,463.23
Ministry of Defence,Ministry of Defence,05/02/2014,HO+CS,Purchase of inventory and services ,XMA LTD,NG11 7EP,302629,Cost of other material consumed,458.37
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,"Transportation of personnel, freight and travel expenses",SERCO LIMITED,RG27 9UY,306824,Military short term detached duty,451.13
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Spend on Inventory - General,FIRMIN & SONS LIMITED,B6 4HU,309073,Spend on Inventory - General,444.96
Ministry of Defence,Ministry of Defence,05/02/2014,Navy Command,Externally delivered education and training,SERCO LIMITED,RG27 9UY,302542,External military training ,443.76
Ministry of Defence,Ministry of Defence,24/02/2014,Air Command,Spend on Inventory - General,TURNER VIRR & CO. LTD,LS25 2DY,309451,Spend on Inventory - General,441.50
Ministry of Defence,Ministry of Defence,17/02/2014,Air Command,IT and communication services,XMA LTD,NG11 7EP,306913,Computer equipment costing below the capitalisation threshold,438.48
Ministry of Defence,Ministry of Defence,13/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,SERCO LIMITED,RG27 9UY,305700,Equipment support project costs,436.64
Ministry of Defence,Ministry of Defence,17/02/2014,Air Command,Payment of utilities,FLOGAS BRITAIN LIMITED,LE7 1PF,306529,Utilities consumed - liquid petroleum gas,436.53
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,IT and communication services,INSIGHT DIRECT (U K) LTD,S9 2BU,311388,Computer equipment costing below the capitalisation threshold,436.33
Ministry of Defence,Ministry of Defence,24/02/2014,JFC,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,308902,Cost of other material consumed,436.03
Ministry of Defence,Ministry of Defence,07/02/2014,Air Command,IT and communication services,XMA LTD,NG11 7EP,303747,Telephone minor equipment below capitalisation threshold,435.58
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,Line + telephone rental including commercial charge for use of radio frequencies,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018966,Line + telephone rental including commercial charge for use of radio frequencies,430.70
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,Civilian short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018966,Civilian short term detached duty,430.57
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,307526,Utilities consumed - gas,428.80
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Spend on Inventory - General,COONEEN DEFENCE LIMITED,BT75 0NE,41287,Spend on Inventory - General,427.75
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,Payment of utilities,E.ON UK PLC,NG1 9AH,305423,Utilities consumed - electricity,425.98
Ministry of Defence,Ministry of Defence,28/02/2014,HO+CS,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,311194,Cost of other material consumed,423.76
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Movement of service personnel,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018322,Movement of service personnel,422.76
Ministry of Defence,Ministry of Defence,03/02/2014,Air Command,Civilian short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,301731,Civilian short term detached duty,421.00
Ministry of Defence,Ministry of Defence,14/02/2014,HO+CS,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,305869,Cost of other material consumed,413.04
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,IT and communication services,CANON (UK) LIMITED,RH2 8BF,308412,Operating lease IT and communications,408.26
Ministry of Defence,Ministry of Defence,18/02/2014,Air Command,Externally delivered education and training,J A MAFFIA T/A JOHNS SCHOOL OF MOTORING,N18 2QD,307138,External military training ,408.00
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,XMA LTD,NG11 7EP,308828,Cost of other material consumed,406.81
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,XMA LTD,NG11 7EP,302629,Cost of other material consumed,401.32
Ministry of Defence,Ministry of Defence,12/02/2014,Air Command,IT and communication services,SPECIALIST COMPUTER CENTRES PLC,B11 2LE,305171,Computer equipment costing below the capitalisation threshold,398.40
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,Official entertainment and hospitality,SODEXO LTD,M50 0AL,311037,Entertainment + hospitality,396.77
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,306966,Cost of other material consumed,392.89
Ministry of Defence,Ministry of Defence,17/02/2014,Land Forces,Food and clothing,ARAMARK LTD,LS16 6QY,306379,Cost of clothing and textile services received,392.16
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Oil and lubricants consumed excluding those from the inventory system,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018343,Oil and lubricants consumed excluding those from the inventory system,391.85
Ministry of Defence,Ministry of Defence,21/02/2014,Land Forces,Food and clothing,TURNER VIRR & CO. LTD,LS25 2DY,308801,Cost of purchasing and repairing clothing,383.02
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Purchase of inventory and services ,XMA LTD,NG11 7EP,304209,Cost of other material consumed,376.49
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,"Purchase of munitions, other inventory or fuel",E.P.BARRUS LTD,OX26 4UR,308003,Consumption of general inventory,374.45
Ministry of Defence,Ministry of Defence,28/02/2014,Air Command,Estate management,SODEXO LTD,M50 0AL,311618,Estate + facilities management services - accommodation inventory + service,373.54
Ministry of Defence,Ministry of Defence,24/02/2014,JFC,"Transportation of personnel, freight and travel expenses",DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,309013,Freight movement costs,369.18
Ministry of Defence,Ministry of Defence,07/02/2014,HO+CS,Civilian short term detached duty,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018322,Civilian short term detached duty,368.80
Ministry of Defence,Ministry of Defence,04/02/2014,HO+CS,Oil and lubricants consumed excluding those from the inventory system,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018288,Oil and lubricants consumed excluding those from the inventory system,366.85
Ministry of Defence,Ministry of Defence,03/02/2014,Navy Command,Design services and minor equipment purchases,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,301456,Equipment support non-project costs,365.08
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",SODEXO LTD,M50 0AL,305159,Military short term detached duty,363.06
Ministry of Defence,Ministry of Defence,27/02/2014,Land Forces,Food and clothing,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,310648,Cost of food services,356.88
Ministry of Defence,Ministry of Defence,27/02/2014,HO+CS,General administration,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018966,General administration,356.47
Ministry of Defence,Ministry of Defence,10/02/2014,JFC,Military short term detached duty,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,304095,Military short term detached duty,355.10
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Utilities consumed - heating oil,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,200000018345,Utilities consumed - heating oil,353.81
