Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,QUALITY THROUGH LEADERSHIP SCHOLARSHIPS,4000201718,47985.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,QUALITY THROUGH LEADERSHIP SCHOLARSHIPS,4000201718,900.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,QUALITY THROUGH LEADERSHIP SCHOLARSHIPS,4000201718,2466.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,QUALITY THROUGH LEADERSHIP SCHOLARSHIPS,4000201718,13886.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSPIRING LEADERS SCHOLARSHIPS,4000201726,46225.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSPIRING LEADERS SCHOLARSHIPS,4000201726,4500.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSPIRING LEADERS SCHOLARSHIPS,4000201726,2926.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSPIRING LEADERS SCHOLARSHIPS,4000201726,30798.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,OUTWOOD TEACHING SCHOOLS ALLIANCE SCHOLARSHIPS,4000201727,10595.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,OUTWOOD TEACHING SCHOOLS ALLIANCE SCHOLARSHIPS,4000201727,10129.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,OUTWOOD TEACHING SCHOOLS ALLIANCE SCHOLARSHIPS,4000201727,4922.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,CPD SOUTH WEST SCHOLARSHIPS,4000201728,9245.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,CPD SOUTH WEST SCHOLARSHIPS,4000201728,12624.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,CPD SOUTH WEST SCHOLARSHIPS,4000201728,13412.00 
Department for Education,DEPARTMENT FOR EDUCATION,17/03/2015,Grants,Children in Care Division,Grants to third sector organisations / not for profit organisations and other businesses,THE SHARE FOUNDATION 3RD PARTY TRUST,4000201729,39000.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,SURREY TEACHING SCHOOLS NETWORK,4000201731,16200.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,SURREY TEACHING SCHOOLS NETWORK,4000201731,4737.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,SURREY TEACHING SCHOOLS NETWORK,4000201731,12012.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,WEST HERTFORDSHIRE TEACHING SCHOOLS PARTNERSHIP,4000201742,17140.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,WEST HERTFORDSHIRE TEACHING SCHOOLS PARTNERSHIP,4000201742,3923.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,WEST HERTFORDSHIRE TEACHING SCHOOLS PARTNERSHIP,4000201742,9980.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,CARNEGIE LEADERS IN LEARNING PARTNERSHIP,4000201743,37880.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,THE NORTH EAST TEACHING SCHOOLS PARTNERSHIP,4000201744,17345.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,THE NORTH EAST TEACHING SCHOOLS PARTNERSHIP,4000201744,11700.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,THE NORTH EAST TEACHING SCHOOLS PARTNERSHIP,4000201744,6141.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,THE NORTH EAST TEACHING SCHOOLS PARTNERSHIP,4000201744,790.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EASTERN LEADERSHIP CENTRE,4000201771,27940.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EASTERN LEADERSHIP CENTRE,4000201771,73280.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EASTERN LEADERSHIP CENTRE,4000201771,1800.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EASTERN LEADERSHIP CENTRE,4000201771,12701.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EASTERN LEADERSHIP CENTRE,4000201771,32266.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSTITUTE OF EDUCATION,4000201777,90160.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSTITUTE OF EDUCATION,4000201777,39943.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,INSTITUTE OF EDUCATION,4000201777,51658.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EDGE HILL UNIVERSITY,4000201786,23685.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EDGE HILL UNIVERSITY,4000201786,59680.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EDGE HILL UNIVERSITY,4000201786,28735.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,EDGE HILL UNIVERSITY,4000201786,76724.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,BABCOCK 4S LTD,4000201787,28320.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,SELT,4000201797,30080.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEADING SCHOOLS SOUTH WEST,4000201818,11740.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEADING SCHOOLS SOUTH WEST,4000201818,71100.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEADING SCHOOLS SOUTH WEST,4000201818,25549.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEADING SCHOOLS SOUTH WEST,4000201818,36826.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEEDS BECKETT UNIVERSITY,4000201833,19840.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEEDS BECKETT UNIVERSITY,4000201833,44738.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,17/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,LEEDS BECKETT UNIVERSITY,4000201833,13366.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF MERTON COUNCIL,4000201852,29185.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000201853,28042.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HOUNSLOW COUNCIL,4000201854,30840.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Assessment and Curriculum and General Qualifications Group,Grants to third sector organisations / not for profit organisations and other businesses,MUSIC FOR YOUTH,4000201855,50000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SUFFOLK COUNTY COUNCIL,4000201856,39165.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SHROPSHIRE COUNCIL,4000201857,31123.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,COVENTRY CITY COUNCIL,4000201858,46561.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NOTTINGHAM CITY COUNCIL,4000201859,31295.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,NOTTINGHAMSHIRE COUNTY COUNCIL,4000201860,39668.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,TAUHEEDUL ISLAM BOYS HIGH SCHOOL,4000201866,62285.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,TAUHEEDUL ISLAM BOYS HIGH SCHOOL,4000201866,36000.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,TAUHEEDUL ISLAM BOYS HIGH SCHOOL,4000201866,33384.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,Grants to third sector organisations / not for profit organisations and other businesses,TAUHEEDUL ISLAM BOYS HIGH SCHOOL,4000201866,28472.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HILLINGDON  COUNCIL,4000201873,31281.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HAVERING COUNCIL,4000201874,29462.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HARROW COUNCIL,4000201875,30098.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HARINGEY,4000201876,30936.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BLACKPOOL BOROUGH COUNCIL,4000201877,27715.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000201878,28692.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LANCASHIRE COUNTY COUNCIL,4000201879,47139.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,MEDWAY COUNCIL,4000201880,30304.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,KENT COUNTY COUNCIL,4000201881,53537.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF HACKNEY,4000201890,32099.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF ENFIELD COUNCIL,4000201894,32683.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF EALING COUNCIL,4000201895,32738.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF CROYDON COUNCIL,4000201896,33504.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF BROMLEY COUNCIL,4000201897,45941.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WORCESTERSHIRE COUNTY COUNCIL,4000201898,35040.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,HEREFORDSHIRE COUNCIL,4000201899,28914.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,THURROCK COUNCIL,4000201900,28501.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SOUTHEND ON SEA BOROUGH COUNCIL,4000201901,28226.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,ESSEX COUNTY COUNCIL,4000201902,50880.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Office of the Schools Commissioner Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",LOXFORD SCHOOL TRUST,4000201909,75000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Office of the Schools Commissioner Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",PELHAM PRIMARY SCHOOL NLE PAYMENT,4000201910,75000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF BRENT,4000201914,32259.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF BEXLEY COUNCIL,4000201915,29741.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF BARNET COUNCIL,4000201916,32940.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,4000201917,30703.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,TORBAY COUNCIL,4000201918,27247.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,PLYMOUTH CITY COUNCIL,4000201919,29524.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,DEVON COUNTY COUNCIL,4000201920,39533.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WARRINGTON BOROUGH COUNCIL,4000201921,28573.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOLVERHAMPTON CITY COUNCIL,4000201922,30272.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,School Business Management and Efficiency,Grants to third sector organisations / not for profit organisations and other businesses,ANGLIA RUSKIN UNIVERSITY,4000201925,31100.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,HERTFORDSHIRE COUNTY COUNCIL,4000201929,62126.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",DIOCESE OF NORWICH MULTI ACADEMY TRUST,4000201930,75000.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,"Grants paid to organisations including agencies, arms length bodies and educational establishments",ASHTON ON MERSEY SCHOOL,4000201935,40000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,CITY OF WESTMINSTER,4000201936,29508.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SHEFFIELD CITY COUNCIL,4000201937,35243.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SUNDERLAND CITY COUNCIL,4000201938,29953.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",DAVID ROSS EDUCATION TRUST,4000201939,25000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,HALTON BOROUGH COUNCIL,4000201940,27583.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,PETERBOROUGH CITY COUNCIL,4000201941,29302.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,CAMBRIDGESHIRE COUNTY COUNCIL,4000201942,37072.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WOKINGHAM BOROUGH COUNCIL,4000201943,27964.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",ST PETERS PRIMARY SCHOOL,4000201946,25000.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,"Grants paid to organisations including agencies, arms length bodies and educational establishments",HISTON & IMPRINGTON JUNIOR SCHOOL,4000201947,30000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",FUTURE LEADERS LTD,4000201949,28242.00 
Department for Education,NATIONAL COLLEGE FOR TEACHING AND LEADERSHIP AGENCY,18/03/2015,Grants,Delivery Directorate,"Grants paid to organisations including agencies, arms length bodies and educational establishments",WEST THORNTON PRIMARY ACADEMY,4000201950,25000.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Assessment and Curriculum and General Qualifications Group,Grants to third sector organisations / not for profit organisations and other businesses,BLOODHOUND SSC COMPUTER SCIENCE EDUCATION,4000201954,34285.68 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,DONCASTER MBC,4000201956,31240.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,METROPOLITAN BOROUGH OF WIRRAL,4000201957,30879.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,LONDON BOROUGH OF LEWISHAM,4000201959,32320.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,SLOUGH BOROUGH COUNCIL,4000201960,28687.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,READING BOROUGH COUNCIL,4000201961,28180.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,WEST BERKSHIRE COUNCIL,4000201962,28331.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,"Childcare, Special Educational Needs and Children's Strategy Group",Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000201963,27899.00 
Department for Education,DEPARTMENT FOR EDUCATION,18/03/2015,Grants,Academies Delivery Group,"Grants paid to organisations including agencies, arms length bodies and educational establishments",HAYWOOD ACADEMY,4000201964,50000.00 
