Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"289,306.73",Security,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,HENRY BOOT CONSTRUCTION LTD,2283346,"500,523.83",CIS Labour-Newcastle Magistrates'-Henry Boot Contruction Ltd-Instruction of complete integration scheme - Building and M&E Refurbishment Works for agreed maximum price,CIS-M12 6FX,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,223001-Printing Postage and Office expenditure,GZ999-North West Region,ROYAL MAIL GROUP PLC,2266981,"25,651.58",NW Region - Royal Mail variable charges - Jun 12 - Mar 13 - Account 166288000,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2274754,"27,779.34",Lift repairs as per Axis quote reference: PQ61358GM,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,222002-Other Property Costs,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2274754,"30,729.75","St Helens County Court - Carry out decant of whole building, to clear site by 08/09/12.  PO value is a nominal sum pending confirmation of actual costs. Our task order TO-NW-AUG12-349 also refers.  Your task ID 82122",CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,261000-Fuel and Utilities,GZ999-North West Region,BRITISH GAS BUSINESS,2290965,"35,811.76",NW Region consolidated A/c - Electricity - British Gas - April 11 - October 12,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,222001-Maintenance,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2274754,"47,831.41",Manchester CJC - NTT Relocation as per Task Order: 51297 - Quote Refs: MOJNW032 and BC14423,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,532000-Tangible GBV - Additions,GZ999-North West Region,HENRY BOOT CONSTRUCTION LTD,2272251,"54,258.90",Liverpool QEII Crown Court - BMS and LV panel replacement as per your tender submission,CIS-M12 6FX,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,261000-Fuel and Utilities,GZ999-North West Region,CORONA ENERGY,2274634,"86,101.47",NW Region Consolidated - Gas - Corona - April 11 - March 12,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,261000-Fuel and Utilities,GZ999-North West Region,CORONA ENERGY,2280469,"110,510.60",NW Region Consolidated - Gas - Corona - April 11 - March 12,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"114,244.48",NW Region - Ad hoc hard services: Apr 12 - Mar 13.,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"163,769.01","Manchester Crown Court, Crown Sq - Works to be carried out as per your report and schedule dated 16th August 2012 and to include for Asbestos Removal option. All costs to be subject to further review and verification as work proceeds.",CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"180,592.46",North West Region Managed and contractual hard services Oct 12 - Mar 13. Contract no. 0073-4-Works/FM-SW-RFI refers: Internal and M&E repair and maintenance,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"97,936.14",North West Region Managed and contractual hard services Oct 12 - Mar 13. Contract no. 0073-4-Works/FM-SW-RFI refers: Management costs,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2291246,"157,996.05",North West Region Contractual Soft Services Oct 12 - Mar 13. Contract no. 0073-4-Works/FM-SW-RFI refers: Cleaning,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2291246,"285,532.32",North West Region Contractual Soft Services Oct 12 - Mar 13. Contract no. 0073-4-Works/FM-SW-RFI refers: Security,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,21-Dec-12,222003-CIS Labour TFM Estates,GZ999-North West Region,G4S INTEGRATED SERVICES (UK) LTD,2291246,"27,633.29",North West Region Contractual Soft Services Oct 12 - Mar 13. Contract no. 0073-4-Works/FM-SW-RFI refers: Management costs,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,28-Dec-12,262000-SCA Costs,GZ999-North West Region,UK COURT SERVICES LTD,2296636,"491,885.00",Manchester- UK Court Services Ltd (WR12 7LJ) - Unitary Charges for Manchester PFI - Monthly,WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,07-Dec-12,222002-Other Property Costs,GZ999-North West Region,GARTSIDE LTD,2272187,"2,171,284.00",Manchester Civil Justice Centre - Gartside Limited - Rent Due Under Lease for Manchester CJC - Quarterly,W1G 0QF,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,261000-Fuel and Utilities,HZ999-North East Region,BRITISH GAS BUSINESS,2286628,"35,443.58",North East Consol Account - Electricity - British Gas 11-12 contract continuation replacing PO 20000128709,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"36,921.72","Gateshead Law Courts, Warwick Street, Gateshead. NE8 1DT - Provide new independent boiler and replacement BMS & AHUnit",CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2286734,"55,097.88",York Magistrates - Installation of Secure Dock to Court 2,CIS-S81 7QF,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"56,252.50","York County-Costs for installation, Project Management and Security provision for York CC R22 by G4S(replaces PO 20000160714)			",CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,11-Dec-12,261000-Fuel and Utilities,HZ999-North East Region,CORONA ENERGY,2274634,"60,229.75",North East Consol Account - Gas - Corona 12-13,NW4 3RJ-RET 4,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"62,984.74",Newcastle upon Tyne CCC - Replacement of kitchen lift,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"80,496.92",HA102 Consolidated - North East Estate Variable Cost Hard Services 12-13,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,262000-SCA Costs,HZ999-North East Region,PALECASTLE LTD,2280934,"96,927.17",Sheffield - Palecastle Ltd (WA14 2EX) - Unitary Charges for Sheffield PFI - Monthly,WA14 2EX,0,Programme
Ministry of Justice,HMCTS,04-Dec-12,223001-Printing Postage and Office expenditure,HZ999-North East Region,ROYAL MAIL GROUP PLC,2266981,"118,198.56",North East Consol Account - Variable service contract continuation replacing PO 20000143837 - Royal Mail - 12/13,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2286735,"148,883.33","Gateshead Law Courts, Warwick Street, Gateshead. NE8 1DT - Provide new independent boiler and replacement BMS & AHUnit",CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"233,273.18",HA102 Consolidated - North East Estate Managed Hard Services 12-13,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,262000-SCA Costs,HZ999-North East Region,MODERN COURTS (HUMBERSIDE) LTD,2280830,"315,416.26","Beverley, Hull & Bridlington - Modern Courts (Humberside) Ltd (BR8 7AG) - Unitary Charges for Humberside PFI - Monthly",BR8 7AG,0,Programme
Ministry of Justice,HMCTS,14-Dec-12,262000-SCA Costs,HZ999-North East Region,MODERN COURTS (HUMBERSIDE) LTD,2280830,"45,987.73","Beverley, Hull & Bridlington - Modern Courts (Humberside) Ltd (BR8 7AG) - Unitary Charges for Humberside PFI - Monthly",BR8 7AG,0,Programme
Ministry of Justice,HMCTS,18-Dec-12,222003-CIS Labour TFM Estates,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2283264,"525,136.03",HA102 Consolidated - North East Estate Managed Fixed Soft Services 12-13,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,532000-Tangible GBV - Additions,SJ999-Scotland,G4S INTEGRATED SERVICES (UK) LTD,2286735,"186,817.72",Edinburgh ETS- G4S to replace boiler,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,262000-SCA Costs,SL999-Centralised Frontline,CABLE & WIRELESS WORLDWIDE,2286647,"43,196.16",Prison  to Courts Video Links,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,262000-SCA Costs,SL999-Centralised Frontline,CABLE & WIRELESS WORLDWIDE,2286647,"53,346.22",Prison  to Courts Video Links,MK3 5JP,0,Programme
Ministry of Justice,HMCTS,19-Dec-12,262000-SCA Costs,SL999-Centralised Frontline,CABLE & WIRELESS WORLDWIDE,2286647,"267,018.64",Prison  to Courts Video Links,MK3 5JP,0,Programme
