Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,16/05/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV010846,3303.59,ESR Drawdown and Pipeline Development costs FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,CV34 6NZ,,Programme,LARGE,,GB927438206
Department of Health,Department of Health,16/05/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV010853,66563.46,CPA for DH ESR Contract - NHS Payslip & delivery charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222 (CCN 126),CV34 6NZ,,Programme,LARGE,,GB927438206
Department of Health,Department of Health,16/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES,ERS-520495-88441,45000,SPP006 - National Council for Voluntary Youth Services - SPP 2014-15 Initial Payment,N1 6DZ,,Other,VCS,,GB991837077
Department of Health,Department of Health,19/05/2014,Outsourcing Contract,DG: PHD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000382012,16974.15,Sheffield Death Certification Reforms Implementation Resource 2013-14 costs (May 2014 PO addition),S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Outsourcing Contract,DG: PHD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000382012,19353.05,Sheffield Death Certification Reforms Implementation Resource. 1 April 2013 to 31 March 2014.,S5 7AU,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,ERS-520549-88468,127674,CANCER NETWORKS,ME16 9QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-520550-88470,128570,CANCER NETWORKS,PR7 1GZ,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-520551-88481,123431,DeNDRON NETWORKS,NW1 0PE,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,SOUTHERN HEALTH NHS FOUNDATION TRUST,ERS-520552-88467,98100,DeNDRON NETWORKS,SO40 2RZ,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,ERS-520553-88465,106135,DeNDRON NETWORKS,BA1 3QE,,Programme,PUBLIC,,GB654912228
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-520554-88463,118193,DIABETES NETWORKS,M6 8HD,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-520555-88461,140573,MEDS FOR CH'REN CTUs,L12 2AP,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-520556-88469,145000,MEDS FOR CH'REN CTUs,NG7 2UK,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,NHS WEST LEICESTERSHIRE CCG,ERS-520565-88576,20000,Research Capability Funding,LE11 2TZ,,Programme,PUBLIC,,GB654463230
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,NHS WEST LEICESTERSHIRE CCG,ERS-520565-88576,20000,Research Capability Funding,LE11 2TZ,,Programme,PUBLIC,,GB654463230
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,PENNINE ACUTE HOSPITALS NHS TRUST,ERS-520621-88546,20000,Research Capability Funding,M8 5RB,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,PENNINE ACUTE HOSPITALS NHS TRUST,ERS-520621-88546,20000,Research Capability Funding,M8 5RB,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,NHS SOUTH EASTERN HAMPSHIRE CCG,ERS-520650-88578,20000,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,GB654454721
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,NHS SOUTH EASTERN HAMPSHIRE CCG,ERS-520650-88578,20000,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,GB654454721
Department of Health,Department of Health,19/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,HAFS-17080,700000,,SL2 4HL,,Other,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-17081,5250000,,WR5 1DD,,Other,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365631,6836709.81,Revenue: FY 2013/14 Service Charge Revenue Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,19/05/2014,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365632,216492,Revenue: FY 2013/14 Service Charge Revenue Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,19/05/2014,Service charge,DG: GOAD,INTECHNOLOGY LTD,ISIN10003,43014,Revenue Spine 2 - InTechnology - core hosting to end 13/14,HG3 1UG,,Programme,SME,,
Department of Health,Department of Health,19/05/2014,Research & development,DG: RDD,EDINBURGH UNIVERSITY OF,ERS-520548-88476,26205.68,HTA Researcher Lead,EH1 1HT,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Revenue Grants to Other Bodies,DG: ERD,NURSING AND MIDWIFERY COUNCIL,ERS-520675-88601,205764,Article 51 Grant. NMC. Overseas Registration Project,W1B 1JT,,Programme,PUBLIC,,
Department of Health,Department of Health,19/05/2014,Other programme expenditure,DG: PHD,CAXTON FOUNDATION,CF-1/2014-15,141458.48,Caxton Foundation funding  2014-15,EN4 9NX,,Programme,VCS,,
Department of Health,Department of Health,20/05/2014,Outsourcing Contract,DG: SFNHS,HUMBER NHS FOUNDATION TRUST,1010001540,34800.19,Outsourced Expence April 2013 - September 2013,HU10 6ED,,Admin,PUBLIC,,
Department of Health,Department of Health,20/05/2014,Outsourcing Contract,DG: GOAD,NHS GREATER MANCHESTER CSU,7300000831,271446.35,,WF3 1WE,,Admin,PUBLIC,,GB654442045
Department of Health,Department of Health,20/05/2014,Distribution services,DG: GOAD,ROYAL MAIL HOLDINGS PLC,1811585,104805,Contract extension - postal redirection and diversion services for abolished SHAs and PCTs in the North and South.,PE1 2ZW,,Admin,PUBLIC,,
Department of Health,Department of Health,20/05/2014,Distribution services,DG: GOAD,ROYAL MAIL HOLDINGS PLC,1811585,13030,Post redirection and diversion servies for London and Midlands & East Legacy Hubs,PE1 2ZW,,Admin,PUBLIC,,
Department of Health,Department of Health,20/05/2014,Contractor/Staff Substitution,DG: SFNHS,PRICEWATERHOUSECOOPERS LLP,1354174615,104129.59,Call Off Contract for Financial Accounting Assistance in Delivering the DH Statutory Resource Accounts,E14 9SQ,,Admin,LARGE,,GB243823957
Department of Health,Department of Health,20/05/2014,Travel & subsistence non staff,DG: SFNHS,PRICEWATERHOUSECOOPERS LLP,1354174615,1154.4,PWC Addition to PO 511822 for expenses ,E14 9SQ,,Admin,LARGE,,GB243823957
Department of Health,Department of Health,20/05/2014,Utilities,DG: GOAD,EDF ENERGY PLC,18389205-0027,42342.72,Skipton House - Electricity Charges From April 2014 - March 2015,SW1E 5JL,,Admin,LARGE,,
Department of Health,Department of Health,20/05/2014,Service charge,DG: SFNHS,DEAN CLOUGH LTD,20686,53742.34,"RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - service charge",HX3 5AX,,Programme,SME,,GB361732951
Department of Health,Department of Health,20/05/2014,Service charge,DG: SFNHS,DEAN CLOUGH LTD,20686,-0.01,,HX3 5AX,,Programme,SME,,GB361732951
Department of Health,Department of Health,20/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584157344,27544,Managed Telco Services,NW1 3HG,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,20/05/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90163447,203396.4,non transferring staff,GU21 6QX,,Programme,LARGE,,GB900540375
Department of Health,Department of Health,20/05/2014,Professional fees,DG: ERD,HM REVENUE AND CUSTOMS HMRC,1.8E+13,37884,GORS Subscription for 2014,BN12 4XH,,Admin,PUBLIC,,
Department of Health,Department of Health,20/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DEAFBLIND UK,ERS-520704-88661,30000,"IESD award to Deafblind UK for its ""I Decide"" project - 1st half of 2012/13 allocation",PE7 8FD,,Other,VCS,,
Department of Health,Department of Health,20/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL MENCAP SOCIETY,ERS-520705-88641,45000,SPP018 - The Disability Partnership (Mencap) - SPP 2014-15 Initial Payment,EC1Y 0RT,,Other,VCS,,
Department of Health,Department of Health,20/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-520744-88681,45000,SPP019 - NAVCA - SPP 2014-15 Initial Payment,S1 4QL,,Other,VCS,,
Department of Health,Department of Health,20/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,UK HEALTH FORUM,ERS-520745-88701,45000,SPP020 - UK Health Forum - SPP 2014-15 Initial Payment,EC4Y 8JX,,Other,VCS,,GB869872057
Department of Health,Department of Health,20/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,INVOLVE YORKSHIRE & HUMBER,ERS-520753-88721,64095.5,AIMs 2579945 - Involve Yorkshire & Humber - project: Support network for the VCS on Health and Wellbeing Boards,LS3 1AB,,Other,VCS,,
Department of Health,Department of Health,21/05/2014,Outsourcing Contract,DG: GOAD,IBM UK LTD,905140032,4932,Kenexa estimate of scoring of written exercise scripts Jan 2014 - March  2014,EC3R 7QQ,,Admin,LARGE,,GB107328000014
Department of Health,Department of Health,21/05/2014,Outsourcing Contract,DG: GOAD,IBM UK LTD,905140032,26400,"Kenexa scoring of written exercise scripts Oct - Dec  2013 A 10% discount was applied to the total amount of £63,100 giving a revised total of £56,790 to pay",EC3R 7QQ,,Admin,LARGE,,GB107328000014
Department of Health,Department of Health,21/05/2014,Outsourcing Contract,DG: PHD,SAPIENT LTD,31124,60845,13-14 EESSI-OHT System software design and related services Sapient costs,E1 6DU,,Programme,LARGE,,GB718603436
Department of Health,Department of Health,21/05/2014,Addition Clearing - SW LIC,DG: GOAD,SOFTWARE BOX LTD,INV69432,39991.19,Capital Spine 2 Software Box - Splunk Enterprise Licence,"YO61 1ET		",,Programme,SME,,
Department of Health,Department of Health,21/05/2014,Research & development,DG: RDD,PROYKUMA TECHNOLOGIES LTD,PK005-2014,65314.35,Invention for Innovation,L3 5TF,,Programme,SME,,GB900594245
Department of Health,Department of Health,21/05/2014,Other programme expenditure,DG: PHD,PGO FOREIGN CURRENCY PAYMENTS,1042541410ONT24T,87641.5,,RH10 1UH,,Programme,PUBLIC,,
Department of Health,Department of Health,21/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BRISTOL MISSING LINK LTD,ERS-520814-88761,27375,IESD 2013/14 - Next Link - IRISmain: Mainstreaming and sustaining IRIS - AIMS 2554589,BS1 4JQ,,Other,VCS,,
Department of Health,Department of Health,22/05/2014,Other programme expenditure,DG: GOAD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,K0815036,1487597.12,,W2 6LA,,Programme,PUBLIC,,
Department of Health,Department of Health,22/05/2014,Other programme expenditure,DG: GOAD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,K0815052,350232.33,,W2 6LA,,Programme,PUBLIC,,
Department of Health,Department of Health,22/05/2014,Conferences & seminars,DG: GOAD,CALDER CONFERENCES LTD,121117,26001.46,"Connecting to Partner Conference, Central Hall Westminster, 26.02.14",LS16 6RF,,Admin,SME,,GB482027849
Department of Health,Department of Health,22/05/2014,Addition Clearing - SW LIC,DG: GOAD,BT GROUP PLC,349795,2761665.66,Capital: BT - SUS Spine - Oracle System Charges CCN869a,NW9 5BA,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,22/05/2014,Outsourcing Contract,DG: SCLGCP,BRITISH TRANSPORT POLICE,I0008750,80000,Street triage project funding - tranche 2 2014-15 (British Transport Police),NW1 9LN,,Programme,PUBLIC,,GB836128036
Department of Health,Department of Health,22/05/2014,Revenue Grants to non-profit institutions,DG: ERD,THE COLLEGE OF SOCIAL WORK,ERS-520816-88782,256000,2014/022c 2014/022b Social Care Work Programme for DH,SW1Y 5BH,,Programme,SME,,
Department of Health,Department of Health,22/05/2014,Revenue Grants to non-profit institutions,DG: ERD,THE NATIONAL SKILLS ACADEMY FOR SOCIAL CARE,ERS-520817-88781,240000,2014/022b Social Care Work Programme for DH,SE1 2HB,,Programme,VCS,,
Department of Health,Department of Health,22/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,PARENTS AGAINST CHILD SEXUAL EXPLOITATION (PACE),ERS-520854-88801,36137.5,IESD 2013-14 - AIMS 2544603 - Parents against child sexual exploitation (PACE) - Project: business development and promotion of multi agency responses to child sexual exploitation which include and recognise the value of affected parents,LS9 8TA,,Other,VCS,,
Department of Health,Department of Health,23/05/2014,Other programme expenditure,DG: GOAD,BEDFORD HOSPITAL NHS TRUST,42906192,31242,,MK42 9DJ,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-520877-88836,25012,Research for Patient Benefit,BN2 3EW,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-520879-88837,40638,Programme Grants for NHS Trusts,B15 2PZ,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",ERS-520881-88834,44380,Programme Grants for NHS Trusts,NE3 3XT,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER CCG,ERS-520885-88851,49170,Research for Patient Benefit,WF3 1WE,,Programme,PUBLIC,,GB654447618
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,CENTRAL MANCHESTER CCG,ERS-520886-88852,40249,Research Capability Funding,WF3 1WE,,Programme,PUBLIC,,GB654447618
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-520889-88831,240502,Bio-Medical Centres,BR3 3BX,,Programme,PUBLIC,,GB654971403
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,ERS-520892-88839,28971,AD-HOC - ETC,M25 3BL,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,TEES ESK AND WEAR VALLEYS NHS FOUNDATION TRUST,ERS-520894-88833,31185,AD-HOC - ETC,TS6 0SZ,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ERS-520895-88827,64650,AD-HOC - ETC,ST2 8LD,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-520898-88823,43330,AD-HOC - ETC,L12 2AP,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-520903-88825,44778.84,AD-HOC - ETC,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103607,481562.38,Information Systems,SW1W 9SR,,Programme,LARGE,,GB238535057
Department of Health,Department of Health,23/05/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103607,0.01,Information Systems,SW1W 9SR,,Programme,LARGE,,GB238535057
Department of Health,Department of Health,23/05/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103608,113704.8,Information Systems,SW1W 9SR,,Programme,LARGE,,GB238535057
Department of Health,Department of Health,23/05/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103609,34263.6,Information Systems,SW1W 9SR,,Programme,LARGE,,GB238535057
Department of Health,Department of Health,23/05/2014,Service charge,DG: GOAD,THE ACCENTURE GROUP,3003245570,321300,Revenue: Accenture -  LSP NE and EEM Oracle Licence,EC4N 4TW,,Programme,LARGE,,GB788629066
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-520904-88841,35680,Invention for Innovation,SN2 1FF,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,CORIN LTD,MISC011,31029.31,Invention for Innovation,GL7 6JJ,,Programme,LARGE,,
Department of Health,Department of Health,23/05/2014,Additions-other equity,DG: PHD,GENOMICS ENGLAND LTD,BK TRANSFER,22500000,,EC1M,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,SALFORD UNIVERSITY OF,ERS-520876-88845,46723,Invention for Innovation,M5 4WT,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Research & development,DG: RDD,WARWICK UNIVERSITY OF,ERS-520890-88847,132466.34,Unallocated,CV4 7AL,,Programme,PUBLIC,,
Department of Health,Department of Health,23/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,EAST LANCASHIRE DEAF SOCIETY,ERS-520917-88881,33727,IESD 2013/14 - East Lancashire Deaf Society - BSL Health Trainer Project - AIMS 2531817,BB2 2EF,,Other,VCS,,GB873513417
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,HAFS-17082,500000,,HD3 3EA,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-17083,1000000,,CV10 7DJ,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-17084,151000,,HG2 7UG,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-17085,2000000,,CM8 2TT,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17086,1502000,,ST16 3SA,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-17087,2470000,,CA2 7HX,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,HAFS-17088,821000,,N18 1QX,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,NORTH WEST LONDON HOSPITALS NHS TRUST,HAFS-17089,3000000,,HA1 3UJ,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,SURREY & SUSSEX HEALTHCARE NHS TRUST,HAFS-17090,1500000,,RH1 5RH,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions FT Financing Facility Loans,DG: Central Technical,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,HAFS-17091,4500000,,SR3 4AD,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions FT Financing Facility Loans,DG: Central Technical,THE WALTON CENTRE NHS FOUNDATION TRUST,HAFS-17092,3500000,,L9 7LJ,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-17105,6695000,,S75 2PY,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-17106,116000,,HG2 7UG,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,HAFS-17107,1200000,,SL2 4HL,,Other,PUBLIC,,
Department of Health,Department of Health,27/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-17108,1730000,,MK6 5LD,,Other,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100024048,25392,Invoice Images - Additional Bandwidth Recharge,WF3 1WE,,Admin,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100024048,15685.4,Invoice Images - Annual Service Charge,WF3 1WE,,Admin,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-520985-89003,250000,Comprehensive Networks,TS4 3BW,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ERS-520986-88994,250000,Comprehensive Networks,M23 9LT,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,ERS-520989-89007,250000,Comprehensive Networks,ME16 9QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,WESTERN SUSSEX NHS FOUNDATION TRUST,ERS-520990-89011,250000,Comprehensive Networks,PO19 6SE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,ERS-520991-88992,214002,Comprehensive Networks,ST2 8LD,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-520993-88990,250000,Comprehensive Networks,CV2 2DX,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-520994-88996,250000,Comprehensive Networks,LS9 7TF,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS COVENTRY & WARWICKSHIRE NHS TRUST,ERS-520995-88991,93267,CANCER NETWORKS,CV2 2DX,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,THE CHRISTIE NHS FOUNDATION TRUST,ERS-520996-88983,245199,CANCER NETWORKS,M20 4BX,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520997-89013,143119,CANCER NETWORKS,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-520998-89014,138741,CANCER NETWORKS,E1 8PR,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-520999-88998,166621,CANCER NETWORKS,B15 2PR,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-521000-88988,141517,CANCER NETWORKS,SE1 9RT,,Programme,PUBLIC,,GB654923417
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-521001-89009,89683,CANCER NETWORKS,BN2 3EW,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-521002-89002,220310,CANCER NETWORKS,OX3 7HE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ERS-521003-89001,101392,CANCER NETWORKS,GL1 2EL,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521004-88984,122427,CANCER NETWORKS,CB2 2QQ,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,ERS-521006-88997,209491,CANCER NETWORKS,LS9 7TF,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,ERS-521007-88995,120289,DeNDRON NETWORKS,NR6 5BE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",ERS-521008-89008,122136,DeNDRON NETWORKS,NE3 3XT,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-521009-89010,124180,DIABETES NETWORKS,W12 0HS,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-521010-89000,92170,MENTAL HEALTH NETWORKS,CB1 5EE,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-521011-88987,109025,MENTAL HEALTH NETWORKS,NG3 6AA,,Programme,PUBLIC,,
Department of Health,Department of Health,28/05/2014,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,ERS-521012-89005,114040,MENTAL HEALTH NETWORKS,PR5 6XT,,Programme,PUBLIC,,
