Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007726," 97,668.33 ",,CPA for ESR Contract : NLMS Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,ATOS ORIGIN IT SERVICES UK LTD,LARGE,WS11 0JA,5584100141," 106,626.76 ",,Revenue: Choose & Book Extension 16 December 11 to 31 March 2012,Programme,
Department of Health,Department of Health,16/02/2012,Research & development,Research & Development,INFRARED INTEGRATED SYSTEMS LTD,SME,NN4 9BG,14490," 115,152.88 ",,Research Project,Programme,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007726," 118,724.99 ",,CPA for ESR Contract : RPP Monthly Service Charges FY09-12,Programme,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,Health Improvement & Protection,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 5UX,502193," 153,468.00 ",,NWPHO Additional Core Funding Qtrs 3 & 4 - October 2011 to March 2012,Admin,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739516," 161,860.41 ",,Bowel cancer campaign - internet advertising,Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - SW LIC,INFORMATICS,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259556," 162,345.67 ",,Capital: FY 2011/12 - Capital Budget Requirements,Programme,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,Health Improvement & Protection,DURHAM UNIVERSITY OF,PUBLIC,TS17 6BH,234961," 168,600.00 ",,NEPHO Core Funding Qtrs 3 & 4 - October 2011 to March 2012,Admin,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,Health Improvement & Protection,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/118181," 218,100.00 ",,WMPHO Core Funding Qtrs 3 & 4 - October 2011 to March 2012,Admin,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,Health Improvement & Protection,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,WF3 1we,7195996," 229,895.00 ",,SWPHO Core Funding Qtrs 3 & 4 - October 2011 to March 2012,Admin,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201273329," 231,790.29 ",,Managed Telecom Service  Charge April 2011 to March 2012,Admin,
Department of Health,Department of Health,16/02/2012,Grants to local authorities (CUR),NHS FINANCE PERFORMANCE & OPERATIONS,NOTTINGHAMSHIRE COUNTY COUNCIL,PUBLIC,NG2 7QP,ERS-452983-55926," 243,613.00 ",,"DH WHHP grant payment Nottingham County Council ""Winter wellbeing in Nottingham"" URN 509",Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - SW LIC,INFORMATICS,MICROTEST LTD,SME,PL31 1EX,76398," 245,305.36 ",,Capital:  FY 2011/12 - Capital Budget Requirements,Programme,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV00006677," 248,787.00 ",,ESR CCN 525 - RPP Release 5.7 delay charges & rescheduled test activity,Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - IT,INFORMATICS,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259556," 284,821.99 ",,Capital - Provision of GPSoc Compliant Systems and related services. Actual value of services over contract period will be determined by demand so order value to create purchasing capacity only,Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - IT,INFORMATICS,I SOFT PLC,LARGE,WA2 0XD,INV/006177," 646,364.01 ",,Capital - Provision of GPSoC Compliant Systems and related services. Actual value of services over contract period will be determined by demand so order value to create purchasing capacity only,Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 6BA,IN53308-1," 1,146,411.06 ",,Revenue:  FY 2011/12 - Revenue Budget Requirements,Programme,
Department of Health,Department of Health,16/02/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14442264," 1,175,815.22 ",,,,
Department of Health,Department of Health,16/02/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14442262," 1,634,669.94 ",,,,
Department of Health,Department of Health,16/02/2012,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV007726," 2,573,542.96 ",,CPA for ESR Contract : ESR Monthly Service Charges FY11-12,Programme,
Department of Health,Department of Health,16/02/2012,Provisions cash payment,WORKFORCE,NHS INJURY BENEFITS SCHEME,PUBLIC,FY7 8LG,ERS-452960-55901," 3,928,564.06 ",,Injury Allowance Recharging,Programme,
Department of Health,Department of Health,16/02/2012,Addition Clearing - SW LIC,INFORMATICS,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 6BA,IN53308-1," 4,951,605.71 ",,Capital:  FY 2011/12 - Capital Budget Requirements,Programme,
Department of Health,Department of Health,16/02/2012,Service charge,INFORMATICS,BT GROUP PLC,LARGE,NW9 6LB,288917," 9,270,112.53 ",,N3 Services core contract to cover spend for services delivered in July to March 2012 as per EBC,Programme,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543,-178.90 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 41.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 70.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 80.69 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 81.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 82.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 83.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 83.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 86.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 105.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 105.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 124.80 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 126.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 160.39 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 160.39 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 240.59 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 241.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 253.81 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 289.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 290.81 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 346.90 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 425.29 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 442.19 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 536.59 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 584.26 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 604.99 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 631.40 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 633.20 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 658.98 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 664.80 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 739.80 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 744.00 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 793.57 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 829.58 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 881.40 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543, 901.60 ,,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,025.59 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,251.32 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,295.81 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,328.40 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,386.14 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,394.51 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,439.59 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,616.20 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 1,642.28 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 2,149.31 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 2,664.77 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 2,678.66 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 2,941.80 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 3,983.68 ",,,,
Department of Health,Department of Health,17/02/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14435543," 4,123.26 ",,,,
Department of Health,Department of Health,17/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14419400," 22,750.00 ",,,,
Department of Health,Department of Health,17/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14419399," 24,700.00 ",,,,
Department of Health,Department of Health,17/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14419403," 37,800.00 ",,,,
Department of Health,Department of Health,17/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739541," 42,285.23 ",,Bowel cancer campaign - internet advertising,Programme,
Department of Health,Department of Health,17/02/2012,Outsourcing Contract,SOCIAL CARE,BIG WHITE WALL LTD,SME,N16 0HX,955," 43,200.00 ",,Payment for Professional Services: delivery of online counselling services over four years - from 2010/11 to 2014/15,Programme,
Department of Health,Department of Health,17/02/2012,Fruit for Schools,Health Improvement & Protection,West Country Fruit Sales Ltd,,,novinvcorn," 44,053.96 ",,,,
Department of Health,Department of Health,17/02/2012,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739539," 49,572.80 ",,Public Relations. Blue Rubicon Public Relations Agency Fees 1 Sept - 30 November. ,Programme,
Department of Health,Department of Health,17/02/2012,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606056," 57,191.59 ",,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,17/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739554," 119,494.45 ",,Smokefree Helpline Quarter Four,Programme,
Department of Health,Department of Health,17/02/2012,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,739549," 120,810.00 ",,EMO Smokefree Regional Marketing Agency Fees Quarter Four  2nd Install,Programme,
Department of Health,Department of Health,17/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14419404," 163,921.00 ",,,,
Department of Health,Department of Health,18/02/2012,Computer Maintenance,INFORMATICS,COMPUTACENTER UK LTD,,,14386754,"-294,454.51 ",,,,
Department of Health,Department of Health,18/02/2012,Computer Maintenance,INFORMATICS,COMPUTACENTER UK LTD,,,14386750," 294,454.51 ",,,,
Department of Health,Department of Health,20/02/2012,Professional fees,COMMISSIONING,DELOITTE LLP,LARGE,MK9 1FD,1110749529," 27,312.00 ",,North Bristol NHS Trust. NHSFT Financial Assessments,Programme,
Department of Health,Department of Health,20/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14428964," 31,680.00 ",,,,
Department of Health,Department of Health,20/02/2012,Professional fees,COMMISSIONING,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1353709654," 33,606.00 ",,Derbyshire Community Health Services NHS Trust. NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,20/02/2012,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,,,14419402," 33,750.00 ",,,,
Department of Health,Department of Health,20/02/2012,Publicity & advertising,COMMUNICATIONS,SIMPLY BECAUSE LTD,LARGE,SL5 9FE,1268," 37,481.35 ",,"Health Visitor recruitment campaign, BEcause F2F agency Q4 2011/12 financial year",Programme,
Department of Health,Department of Health,20/02/2012,Consultancy/Professional Advice,NHS FINANCE PERFORMANCE & OPERATIONS,HEMPSONS SOLICITORS,LARGE,HG1 1DY,50063435," 70,915.48 ",,Legal Advice Relating to Mid-Staffs Public Inquiry.,Programme,
Department of Health,Department of Health,20/02/2012,Staff Consultancy & Suppt,INFORMATICS,PA CONSULTING SERVICES LTD,,,14428965," 72,864.00 ",,,,
Department of Health,Department of Health,20/02/2012,Other Admin expenditure,NHS MEDICAL DIRECTOR,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,9003407," 81,037.93 ",,Funding to support pay & non pay costs (admin) in respect of NAAASP,Admin,
Department of Health,Department of Health,20/02/2012,Research & development,Research & Development,BMJ PUBLISHING GROUP LTD,LARGE,WC1H 9JR,I0046000," 132,952.00 ",,Research Project,Programme,
Department of Health,Department of Health,20/02/2012,Outsourcing Contract,SOCIAL CARE,LOCAL GOVERNMENT ASSOCIATION,SME,SW1P 3HZ,40207873," 195,000.00 ",,"Local Government Group, Support for elected member",Admin,
Department of Health,Department of Health,20/02/2012,Additions-PDC permanent,NHS FC,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,PUBLIC,DL3 6HX,HAFS-12343," 346,000.00 ",,,Other,
Department of Health,Department of Health,20/02/2012,Additions-PDC permanent,NHS FC,EAST LANCASHIRE HOSPITALS NHS TRUST,PUBLIC,BB2 3HH,HAFS-12344," 500,000.00 ",,,Other,
Department of Health,Department of Health,20/02/2012,Outsourcing Contract,COMMISSIONING,MARKET AND OPINION RESEARCH INTERNATIONAL LTD,LARGE,SE1 1FY,12000230," 508,803.61 ",,GP Patient Survey (Ipsos MORI),Programme,
Department of Health,Department of Health,20/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS20/2/12," 689,722.20 ",,,Programme,
Department of Health,Department of Health,20/02/2012,Admin Revenue Grant-in-Aid ENDPBs,"PSF POLICY, STRATEGY & FINANCE",MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,PUBLIC,SW1Y 4RB,IR OF NHS FUNDING 2012," 1,300,000.00 ",,Monitor - grant-in-aid payment.  Sept 2011 - March 2012.,Admin,
Department of Health,Department of Health,20/02/2012,Admin Revenue Grant-in-Aid ENDPBs,"PSF POLICY, STRATEGY & FINANCE",MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,PUBLIC,SW1Y 4RB,IR OF NHS FUNDING 2012 TRANSITION," 1,655,304.00 ",,Monitor - transition funding.  Aug 2011.,Programme,
Department of Health,Department of Health,20/02/2012,Additions-PDC permanent,NHS FC,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,PUBLIC,E13 8SL,HAFS-12345," 2,000,000.00 ",,,Other,
Department of Health,Department of Health,20/02/2012,Additions FT Financing Facility Loans,NHS FC,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,,HAFS-12342," 3,000,000.00 ",,,Other,
Department of Health,Department of Health,20/02/2012,Additions-PDC temporary,NHS FC,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,PUBLIC,LN2 5QY,HAFS-12346," 10,100,000.00 ",,,Other,
Department of Health,Department of Health,20/02/2012,Arm Length Bodies-Revenue Subsidy,Health Improvement & Protection,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,947279," 12,000,000.00 ",,NHS Blood and Transplant (NHSBT) Revenue Cash Drawdown for 2011/12.,Programme,
Department of Health,Department of Health,21/02/2012,Policy Payments,Health Improvement & Protection,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,20156," 45,348.55 ",,Reimbursement of National Clinical Excellence Award Payment to Consultant in the MRC,Admin,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-453248-55948," 54,906.21 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Health Improvement & Protection,IFR ENTERPRISES LTD,SME,NR4 7UA,INV0002885," 65,103.50 ",,FS136004 - Programme of Nutrient Analysis Surveys and Associated Work - Food Composition Survey (Main Contract),Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-453257-55947," 84,701.20 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Grants to non profit institutions (CUR),NHS Improvement and Efficiency,CENTRE FOR PUBLIC SCRUTINY LTD,VCS,SW1P 3HZ,ERS-453250-55941," 100,000.00 ",,2011-12 Centre for Public Scrutiny - project - on health scrutiny to support implementation of health reforms - responsible person Jonathan Leahy,Programme,
Department of Health,Department of Health,21/02/2012,Printing,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,OP/I123355," 101,649.23 ",,Monthly charges for storage and distribution November 2011,Admin,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-453261-55950," 108,258.00 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON (UCL),PUBLIC,WC1E 6BT,ERS-453258-55949," 147,700.37 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,ERS-453253-55945," 188,775.00 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Contractor/Staff Substitution,"PSF POLICY, STRATEGY & FINANCE",NORTHGATE UK LTD,LARGE,HP2 4NW,91197517," 213,472.51 ",,PROMs Lot 1.  Supplier Northgate.  Data Collection for PROMs,Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-453249-55942," 250,000.00 ",,Research Project,Programme,
Department of Health,Department of Health,21/02/2012,Research & development,Research & Development,WELLCOME TRUST TRADING LTD,VCS,NW1 2BE,ERS-453251-55953," 1,744,487.34 ",,Research Project,Programme,
Department of Health,Department of Health,22/02/2012,External Consultancy Fees,INFORMATICS,KPMG LLP,,,14449006," 27,504.80 ",,,,
Department of Health,Department of Health,22/02/2012,Policy Payments,SOCIAL CARE,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,91003864," 30,000.00 ",,Clinical and admin support for the Outcomes strategy work,Admin,
Department of Health,Department of Health,22/02/2012,Outsourcing Contract,Health Improvement & Protection,HEALTH PROTECTION AGENCY (HPA),PUBLIC,WC1V 7PP,5360094," 30,862.00 ",,Provision of IT for GOWM & GONE - Capital set up costs,Admin,
Department of Health,Department of Health,22/02/2012,Outsourcing Contract,Health Improvement & Protection,SAPIENT LTD,LARGE,E14 9GE,24375," 64,250.00 ",,EESSI Project - Flexible Resource statement of work SOW 105/CR07/PID57714,Programme,
Department of Health,Department of Health,22/02/2012,Outsourcing Contract,Health Improvement & Protection,SAPIENT LTD,LARGE,E14 9GE,24380," 106,857.50 ",,EESSI Project - Flexible Resource statement of work SOW 105/CR07/PID57714,Programme,
Department of Health,Department of Health,22/02/2012,Other programme expenditure,Health Improvement & Protection,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/I119423," 175,000.00 ",,Hosting of the NHS National Genetics Education and Development Centre,Programme,
Department of Health,Department of Health,22/02/2012,Outsourcing Contract,Health Improvement & Protection,EXEL EUROPE LTD,LARGE,MK40 2XQ,6302195," 200,000.00 ",,Exel Europe Ltd - SFVS Management fee 2011/12,Programme,
Department of Health,Department of Health,22/02/2012,Revenue Grants to Other Bodies,Health Improvement & Protection,DEFENCE BILLS AGENCY (DBA),PUBLIC,L2 3YL,7237789," 317,335.53 ",,Ministry of Defence UK Personell Teritiary Care provided by Germany Health care costs,Programme,
Department of Health,Department of Health,22/02/2012,Other programme expenditure,"PSF POLICY, STRATEGY & FINANCE",FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,SME,EC4A 3AE,CHAPS22/2/12," 683,000.00 ",,,Programme,
Department of Health,Department of Health,22/02/2012,Contr Other External,INFORMATICS,CAPITA BUSINESS SERVICES LTD,,,14448949," 1,071,522.97 ",,,,
Department of Health,Department of Health,22/02/2012,Outsourcing Contract,"PSF POLICY, STRATEGY & FINANCE",CARE UK CLINICAL SERVICES LTD,LARGE,RG19 3XG,25850779," 1,882,476.36 ",,Clinical services under E08 MCATS contract,Programme,
Department of Health,Department of Health,23/02/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,7664822," 21,179.00 ",,Research Project,Programme,
Department of Health,Department of Health,23/02/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,7664823," 21,179.00 ",,Research Project,Programme,
Department of Health,Department of Health,23/02/2012,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,7664824," 21,179.00 ",,Research Project,Programme,
Department of Health,Department of Health,23/02/2012,Outsourcing Contract,COMMISSIONING,RUSSELL REYNOLDS ASSOCIATES LTD,LARGE,SW1Y 4HZ,39070," 25,000.00 ",,Search proces: Chair Appointment for NHSCB + 1 NED,Admin,
Department of Health,Department of Health,23/02/2012,Building repairs & maintenance,NHS FINANCE PERFORMANCE & OPERATIONS,HAMMERSMITH GROVE GP LTD,PUBLIC,G2 5SG,71036," 45,000.00 ",,SO4500 - Hammersmith - HAMMERSMITH GROVE GP LTD - Dilapidations at lease end,Programme,
