Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,15/01/2016,Outsourcing Contract,NHS SHARED BUSINESS SERVICES SBS,100037864," 90,833 ",BMS Support 1 April 2015 - 31 March 2016,WF3 1WE,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000439935," 35,755 ",Sheffield TH NHSFT DCRIR 2015-16 costs,S5 7AU,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000077," 59,745 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000078," 188,869 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000079," 395,247 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000080," 629,366 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,15/01/2016,Outsourcing Contract,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40215370," 1,000,000 ",Care and health improvement programme,EC1M 5LG,VCS,,,
,,18/01/2016,Research & development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-549864-115643," 28,492 ",AD-HOC - ETC,NE7 7DN,PUBLIC,,,
,,18/01/2016,IT minor costs non capital,SAPIENT LTD,38754," 30,565 ","Change request ACCEA 12, SOW 124/CR16/PID 98742",E1 6DU,LARGE,,,
,,18/01/2016,Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00405174RI," 7,431 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00405174RI," 4,639 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00405174RI," 7,811 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Security: contract,EMCOR FACILITIES SERVICES LTD,00405174RI," 1,664 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00405176RI," 66,714 ",Accommodation Central Management - FM Fixed Costs FY2015-2016 ,SO53 3YE,LARGE,,,
,,18/01/2016,Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00405177RI," 50,581 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00405177RI," 23,198 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00405177RI," 22,866 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Security: contract,EMCOR FACILITIES SERVICES LTD,00405177RI," 30,298 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00405178RI," 53,104 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00405178RI," 29,885 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00405178RI," 32,257 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Security: contract,EMCOR FACILITIES SERVICES LTD,00405178RI," 49,083 ",Building Maintenance ,SO53 3YE,LARGE,,,
,,18/01/2016,Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00405179RI," 45,334 ",Building Maintenance,SO53 3YE,LARGE,,,
,,18/01/2016,Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00405179RI," 19,210 ",Building Maintenance,SO53 3YE,LARGE,,,
,,18/01/2016,Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00405179RI," 18,184 ",Building Maintenance,SO53 3YE,LARGE,,,
,,18/01/2016,Security: contract,EMCOR FACILITIES SERVICES LTD,00405179RI," 32,138 ",Building Maintenance,SO53 3YE,LARGE,,,
,,18/01/2016,Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00405181RI," 34,725 ",Care Commission (CQC) - Building Maintenance Fixed Costs FY2015-2016,SO53 3YE,LARGE,,,
,,18/01/2016,Essential Meds SPG - Additions,TEVA UK LTD,GB675217228," 2,788,713 ",,,LARGE,,,
,,18/01/2016,Essential Meds SPG - Additions,Peckforton Pharmaceuticals Ltd,GB636637614," 287,396 ",,,SME,,,
,,18/01/2016,Essential Meds SPG - Additions,KENT PHARMACEUTICALS LTD,GB945639974," 1,463,861 ",,,SME,,,
,,18/01/2016,Research & development,GENOMICS ENGLAND LTD,18," 1,177,205 ",SBRI competition - phase 2 Genomics,EC1M,PUBLIC,,,
,,18/01/2016,Research & development,IMPERIAL COLLEGE LONDON,ERS-549876-115651," 37,419 ",HTA Researcher Lead,SW7 2AZ,PUBLIC,,,
,,18/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-549875-115656," 32,127 ",HTA Commissioned Research,OX1 2XN,PUBLIC,,,
,,18/01/2016,Research & development,LEEDS UNIVERSITY OF,ERS-549874-115652," 76,540 ",EME - ( NETSCC ),LS2 9JT,PUBLIC,,,
,,18/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-549872-115655," 58,027 ",Invention for Innovation,M13 9PL,PUBLIC,,,
,,18/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,ERS-549867-115653," 42,841 ",Cochrane Review Groupss(CRG),WC1E 6BT,PUBLIC,,,
,,18/01/2016,Research & development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-549865-115648," 28,941 ",PROJECTS,WC1E 7HT,PUBLIC,,,
,,18/01/2016,Revenue Grants to non-profit institutions,BEST BEGINNINGS,ERS-549860-115621," 61,741 ",From bump to breastfeeding ref 54098363,NW6 1XQ,VCS,,,
,,19/01/2016,CIP Addition Clearing - IT,NHS ENGLAND CBA033,7000016793," 141,384 ",Lenovo ThinkPad X240 utrabooks,LS2 7UE,PUBLIC,,,
,,19/01/2016,Outsourcing Contract,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-465," 2,248,875 ",April 15 - March 16 Core Service Charges,SL1 2EJ,LARGE,,,
,,19/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10111593," 49,485 ",Financial Model Support Services - NHS Supply Chain (ITT 600004),SW1W 9SR,LARGE,,,
,,19/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10112169," 28,822 ",Financial Model Support Services - NHS Supply Chain (ITT 600004),SW1W 9SR,LARGE,,,
,,19/01/2016,Outsourcing Contract,IBM UK LTD,5812151211," 2,152,829 ",FY15/16 ESR Service Delivery,PO6 3AU,LARGE,,,
,,19/01/2016,Provisions cash payment,SKIPTON FUND LTD,5/15-16," 2,835,024 ",Skipton Fund funding 2015/16,SW1H 0QS,VCS,,,
,,19/01/2016,Outsourcing Contract,SERCO LTD,91225821," 235,036 ",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,LARGE,,,
,,19/01/2016,Revenue Grants to non-profit institutions,SKILLS FOR CARE LTD,ERS-549898-115721," 3,140,000 ",2015/005 Skills for Care,LS1 2RP,VCS,,,
,,19/01/2016,Capital Grants to non-profit institutions,SKILLS FOR CARE LTD,ERS-549897-115701," 80,000 ",2015/019 Skills for Care,LS1 2RP,VCS,,,
,,19/01/2016,Revenue Grants to non-profit institutions,ALZHEIMERS SOCIETY,ERS-549916-115761," 114,198 ",HSCVF - ALZHEIMERS SOCIETY  - 2012/National/017 - Connectig Communities,E1W 1LB,VCS,,,
,,19/01/2016,Revenue Grants to non-profit institutions,SKILLS FOR CARE LTD,ERS-549899-115741," 140,000 ",2015/020 - Skills for Care - White Paper Funding 15/16,LS1 2RP,VCS,,,
,,19/01/2016,Revenue Grants to non-profit institutions,HENRY,ERS-549893-115661," 37,780 ",HSCVF 2013/National/001 Henry: A Healthier start in life 2015-16 Award,OX29 4BD,SME,,,
,,19/01/2016,Provisions cash payment,THE MACFARLANE TRUST,MFT-04/15-16," 491,688 ",Macfarlane Trust funding 2015/16,SW1H 0QS,VCS,,,
,,20/01/2016,Arm Length Bodies-Revenue Subsidy,NHS BLOOD AND TRANSPLANT (NHSBT),953066," 5,508,000 ",NHSBT revenue drawdown for 2015/16,LS15 7TW,PUBLIC,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 1,129 ",OC/2015/05 - OPC Adjustment Charge,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 40,700 ",OC/2015/09- Business Support,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 16,402 ",OC/2015/08 - Premises,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 24,665 ",OC/2015/07 - Other overheads and profit,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 5,826 ",OC/2015/04 - Transferring Staff,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 10,099 ",OC/2015/06 - Expenses,GU21 6QX,LARGE,,,
,,20/01/2016,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90203726," 246,712 ",OC/2015/01 - Non Transferring staff,GU21 6QX,LARGE,,,
,,20/01/2016,Service charge,IMS Health Technology Services Limited,4122001086," 85,667 ","Revenue: 2015/16 SUS Spine IMS Health  CCN 001 SUS Live Service Agreement 12 Month Contract 1516	 ",ST8 0LQ,LARGE,,,
,,20/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335529," 68,390 ","Revenue: 2015/16 - SUS Spine Mastek MAS1-3-022  R16 elaboration""	 ",RG1 8BW,LARGE,,,
,,20/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335530," 164,663 ","Revenue: 2015/16 - SUS Spine Mastek MAS1-3-022  R16 elaboration""	 ",RG1 8BW,LARGE,,,
,,20/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335622," 200,650 ","Revenue: 2015/16 - SUS Spine Mastek MAS1-3-022  R16 elaboration""	 ",RG1 8BW,LARGE,,,
,,20/01/2016,Essential Meds SPG - Additions,MARTINDALE PHARMACEUTICALS LTD,GB701725270," 746,246 ",,,LARGE,,,
,,20/01/2016,Essential Meds SPG - Additions,MARTINDALE PHARMACEUTICALS LTD,GB701725270, 2 ,,,LARGE,,,
,,20/01/2016,UK subscriptions to overseas bodies,PGO FOREIGN CURRENCY PAYMENTS,1042560190WF0F6P," 46,500 ",,RH10 1UH,PUBLIC,,,
,,20/01/2016,Research & development,LEEDS UNIVERSITY OF,ERS-549974-115805," 118,066 ",NIHR Fellowships,LS2 9JT,PUBLIC,,,
,,20/01/2016,Research & development,EDINBURGH UNIVERSITY OF,ERS-549973-115803," 103,240 ",EME - ( NETSCC ),EH1 1HT,PUBLIC,,,
,,20/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,ERS-549971-115806," 46,360 ",Invention for Innovation,WC1E 6BT,PUBLIC,,,
,,20/01/2016,Research & development,ST GEORGES HOSPITAL MEDICAL SCHOOL,ERS-549970-115810," 95,922 ",Invention for Innovation,SW17 0RE,PUBLIC,,,
,,20/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-549969-115807," 68,162 ",HTA Researcher Lead,M13 9PL,PUBLIC,,,
,,20/01/2016,Research & development,NEWCASTLE UNIVERSITY,ERS-549968-115808," 251,356 ",Rus - Regional Design Service,NE1 7RU,PUBLIC,,,
,,20/01/2016,Research & development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-549967-115804," 40,172 ",NIHR Public Health Research ( NETSCC ),WC1E 7HT,PUBLIC,,,
,,20/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,1102857," 59,345 ",RDD Programme Support - Miscellaneous,WC1E 6BT,PUBLIC,,,
,,21/01/2016,Service charge,NHS SHARED BUSINESS SERVICES SBS,100037866," 27,083 ",SBS - Digital Archive Services - Annual Service Charge,WF3 1WE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 44,216 ",LD Census,LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 160,712 ",Adult Psychiatric Morbidity Survey,LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 43,196 ",What About Youth - Wave 1,LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 33,000 ",HSE - WEMWEBS,LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 76,410 ",HSCIC CPA - Breast Implant Registry.,LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 47,105 ",CAMHS Prevalence Survey 2 (Staff/Management),LS1 6AE,PUBLIC,,,
,,21/01/2016,Outsourcing Contract,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672023," 126,000 ",CAMHS Prevalence Survey 1,LS1 6AE,PUBLIC,,,
,,21/01/2016,Revenue Grants to non-profit institutions,THE FIT FOR WORK TEAM,ERS-549997-115821," 256,653 ",IESD 2015-16 (AIMS Ref 54164626) The Fit for Work Team Year 2 Award,LE1 5SN,SME,,,
,,21/01/2016,Research & development,RAND EUROPE CIC,16088/14044-8," 38,734 ",HS & DR,CB4 1YG,SME,,,
,,21/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10112260," 252,000 ",Information Systems,SG8 6DP,LARGE,,,
,,21/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10112259," 30,842 ",Information Systems,SG8 6DP,LARGE,,,
,,21/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10112258," 30,842 ",Information Systems,SG8 6DP,LARGE,,,
,,21/01/2016,Outsourcing Contract,PA CONSULTING SERVICES LTD,10112258," 133,798 ",Information Systems,SG8 6DP,LARGE,,,
,,21/01/2016,Research & development,KEELE UNIVERSITY OF,ERS-550019-115844," 69,755 ",HTA Researcher Lead,ST5 5BG,PUBLIC,,,
,,22/01/2016,Research & development,RAND EUROPE CIC,16089/15140-2," 26,704 ",HTA Commissioned Research,CB4 1YG,SME,,,
,,22/01/2016,Service charge,CABLE AND WIRELESS COMMUNICATION (VODAFONE),457792," 1,126,037 ",Revenue charges for the Period commencing FY15/16: Vodafone NHS Mail Extension - Fixed Price Core Services: April - December 15 charges and Transitional Assistance: April - September 15 charges.,RG12 1RW,LARGE,,,
,,22/01/2016,Service charge,EGTON MEDICAL INFORMATION SYSTEMS LTD,EM-SINV000716," 1,840,699 ",Revenue: 2015/16 GPSoC Revenue charges  01.04.2015 to 31.03.2016: System support charges Training Charges Utilisation charges Interface Mechanism charges Pairing Assurance service charges Development charges Hosting service char,LS19 7BY,LARGE,,,
,,22/01/2016,Revenue Grants to non-profit institutions,LIFELINE PROJECT LTD,ERS-550034-115881," 66,998 ",2012/13 2012/National/038 Lifeline Project Volunteer Exchange,M4 1FR,VCS,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20484," 380,000 ",,TQ2 7AN,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS FT Permenant,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-20501," 700,000 ",,SS16 5NL,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS FT Permenant,BOLTON NHS FOUNDATION TRUST,HAFS-20502," 1,697,000 ",,BL4 0JR,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,HAFS-20503," 2,267,000 ",,S44 5BL,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS FT Permenant,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,HAFS-20504," 250,000 ",,DT1 2JY,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS T Permenant,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-20505," 103,000 ",,CV10 7DJ,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-20506," 424,000 ",,PR7 1GZ,PUBLIC,,,
,,25/01/2016,Additions PDC Revenue Support NHS FT Permanent,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-20507," 543,000 ",,ST16 3SA,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS T Permenant,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-20508," 845,000 ",,WF1 4TU,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,HAFS-20509," 1,250,000 ",,SY10 7AG,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS FT Permenant,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-20510," 60,000 ",,UB9 6JH,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-20511," 2,500,000 ",,UB9 6JH,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,STOCKPORT NHS FOUNDATION TRUST,HAFS-20512," 9,000,000 ",,SK2 7JG,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20513," 400,000 ",,TQ2 7AN,PUBLIC,,,
,,25/01/2016,Additions PDC Capital Support NHS FT Permenant,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,HAFS-20514," 1,800,000 ",,NW1 2BX,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,HAFS-20515," 3,500,000 ",,NW1 2BX,PUBLIC,,,
,,25/01/2016,Additions PDC Revenue Support NHS FT Permanent,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-20516," 185,000 ",,ST16 3SA,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-20517," 2,500,000 ",,UB9 6JH,PUBLIC,,,
,,25/01/2016,Additions NHS FTs Capital Investment Loans,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,HAFS-20518," 250,000 ",,TQ2 7AN,PUBLIC,,,
,,25/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 92,500 ",,,SME,,,
,,25/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,25/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 46,250 ",,,SME,,,
,,25/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057, 0 ,,,SME,,,
,,26/01/2016,Provisions cash payment,NHS INJURY BENEFITS SCHEME,ERS-550134-115921," 4,676,281 ","Injury Allowance Recharge Payment, December 2015",FY7 8LG,PUBLIC,,,
,,26/01/2016,DH Support to Mergers,THE ROYAL WOLVERHAMPTON NHS TRUST,188425," 59,000 ",Stafford Transition and Integration Costs,WV10 0QP,PUBLIC,,,
,,26/01/2016,DH Support to Mergers,THE ROYAL WOLVERHAMPTON NHS TRUST,188425," 832,000 ",Transaction Costs,WV10 0QP,PUBLIC,,,
,,26/01/2016,DH Support to Mergers,THE ROYAL WOLVERHAMPTON NHS TRUST,188426," 891,000 ",Stafford Transition and Integration Costs,WV10 0QP,PUBLIC,,,
,,26/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000081," 35,704 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,26/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000082," 692,949 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,26/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000083," 208,121 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,26/01/2016,Outsourcing Contract,OECD,160176/STI/2016/18," 40,000 ","Providing support for the Integrated Development, International Regulators Group",75016,PUBLIC,,,
,,26/01/2016,Research & development,RAND EUROPE CIC,16122/10073-70," 62,813 ",PROJECTS,CB4 1YG,SME,,,
,,26/01/2016,Essential Meds SPG - Additions,Crescent Pharma Ltd,GB821003591," 3,659,334 ",,,LARGE,,,
,,26/01/2016,Essential Meds SPG - Additions,Crescent Pharma Ltd,GB821003591, 7 ,,,LARGE,,,
,,26/01/2016,Provisions cash payment,SKIPTON FUND LTD,6/15-16," 40,519 ",Skipton Fund funding 2015/16,SW1H 0QS,VCS,,,
,,26/01/2016,Radio communications,HOME OFFICE,BK TRANSFER," 628,963 ",2015-16 DH contribution to ESMCP,NP20 9BB,PUBLIC,,,
,,27/01/2016,DH Support to Mergers,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,474004," 316,000 ",Transaction Costs,ST4 7LN,PUBLIC,,,
,,27/01/2016,DH Support to Mergers,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST.,474005," 4,718,000 ",Stafford Transition and integration costs,ST4 7LN,PUBLIC,,,
,,27/01/2016,Delivery of NHS Transaction related operational efficiency,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,8610044853," 15,000,000 ",Support to Royal Liverpool and Broadgreen University Hospitals NHS Trust for the Provision of Health Services,L7 8XP,PUBLIC,,,
,,27/01/2016,DH Support to Mergers,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0112896," 3,032,000 ",Implementation of Barnet and Chase Farm Operational Efficiency,NW3 2QG,PUBLIC,,,
,,27/01/2016,Research & development,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,ERS-550179-115941," 70,000 ",Invention for Innovation,SE5 9RS,PUBLIC,,,
,,27/01/2016,Outsourcing Contract,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000446316," 35,079 ",Sheffield TH NHSFT DCRIR 2015-16 costs,S5 7AU,PUBLIC,,,
,,27/01/2016,Outsourcing Contract,ATOS IT SOLUTIONS AND SERVICES LTD,5584204861," 1,286,542 ",December 2015 IMS3 Open Service charges,WS11 0JA,LARGE,,,
,,27/01/2016,Outsourcing Contract,ATOS IT SOLUTIONS AND SERVICES LTD,5584204862," 46,869 ",December 2015 IMS3 Open Service charges,WS11 0JA,LARGE,,,
,,27/01/2016,Addition Clearing - SW LIC,BJSS LTD,14775," 99,580 ",BJSS 15/16 capital: July 15 - Sept 15,LS1 2TW,SME,,,
,,27/01/2016,Addition Clearing - SW LIC,BJSS LTD,14776," 101,471 ","Capital: F/Y 2015/16 Spine 2 BJSS - Core Collaborative Development Call-Off Contract Oct - Dec 2015	 ",LS1 2TW,SME,,,
,,27/01/2016,Service charge,BT GROUP PLC,400689," 209,965 ","Revenue: 2015/16 Spine 2 BT - CCN 933 Support for transition from DTS to MESH Milestones 1-4	 ",NW9 5BA,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,402823," 36,773 ",Revenue: BT Spine - Committed 2014/15,NW9 5BA,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,402823," 85,703 ","Revenue: 2015/16 Spine 2 BT - CCN 933 Support for transition from DTS to MESH Milestones 1-4	 ",NW9 5BA,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,403723," 4,535,758 ","Revenue: 2015/16 LSP London BT - CCN - LON 1297 BT LSP Acute & Community & Mental Health Continued Performances of Services	 ",NW9 6LB,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,403769," 109,067 ","Revenue: 2015/16 LSP London BT -CCN - LON 1391 / NBT Training Support					 ",NW9 5BA,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,403773," 42,198 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,27/01/2016,Service charge,BT GROUP PLC,403928," 80,783 ","Revenue: 2015/16 LSP London BT -CCN - LON 1391 / NBT Training Support					 ",NW9 5BA,LARGE,,,
,,27/01/2016,Addition Clearing - SW LIC,MASTEK UK LTD,90335531," 85,657 ",Capital: 2015/16 Spine 2 Mastek - Agile Dev Call Off Contract - CCN MAS1-0-004 CAP0469 40% capital charges,RG1 8BW,LARGE,,,
,,27/01/2016,Service charge,MASTEK UK LTD,90335531," 67,302 ","Revenue: 2015/16 Spine 2 Mastek  - Agile Dev Call Off Contract  - CCN MAS1-0-004 CAP0469 60% revenue charges 	 ",RG1 8BW,LARGE,,,
,,27/01/2016,Service charge,MASTEK UK LTD,90335531,-0 ,,RG1 8BW,LARGE,,,
,,27/01/2016,Service charge,MASTEK UK LTD,90335621," 209,832 ","Revenue: 2015/16 SUS Spine Mastek WP8 - Amendment to the Mastek Agreement 14 months 	 ",RG1 8BW,LARGE,,,
,,27/01/2016,Service charge,MASTEK UK LTD,90335629," 25,790 ","Revenue: 2015/16 SUS Spine Mastek WP17 - Additional Support	 ",RG1 8BW,LARGE,,,
,,27/01/2016,Outsourcing Contract,VIRTUAL STAFF COLLEGE,349," 225,000 ",Funding for Future Directors of Public Health programme 2015-16,NG7 2TU,SME,,,
,,27/01/2016,Outsourcing Contract,IMPROVEMENT AND DEVELOPMENT AGENCY FOR LOCAL GOVERNMENT,40215389," 1,399,900 ",Regional Learning Networks,EC1M 5LG,VCS,,,
,,27/01/2016,Research & development,UNIVERSITY COLLEGE LONDON UCL,ERS-550195-115947," 41,601 ",HTA Researcher Lead,WC1E 6BT,PUBLIC,,,
,,27/01/2016,Research & development,EXETER UNIVERSITY OF,ERS-550194-115945," 25,000 ",TARs,EX4 4QJ,PUBLIC,,,
,,27/01/2016,Research & development,MANCHESTER UNIVERSITY OF,ERS-550193-115949," 53,000 ",Invention for Innovation,M13 9PL,PUBLIC,,,
