MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,GLAISYERS LLP,128528247,"36,709.52",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,PARDOES,128629422,"36,700.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,BUTLER & CO,128627100,"36,500.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HAY & KILNER,128629032,"36,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,RUSSELL & RUSSELL SOLICITORS,128629160,"36,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,CUNNINGHAMS DRAYCOTT BROWNE LTD,128631521,"36,444.30",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,RH LAW LLP,128735441,"36,407.17",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,KIRWANS,128629862,"36,378.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,MICHAEL F A BORRELLI,128560848,"36,373.86",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,WALKER LAHIVE,128630076,"36,370.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,BLACKFORDS LLP,128850830,"36,335.03",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,BIVONAS LLP,128850997,"36,335.03",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,GEOFFREY FORRESTER & CO,128629037,"36,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,LLOYDS PR LTD,128629724,"36,283.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,FOOTNER & EWING,128432111,"36,264.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MACNAB CLARKE SOLICITORS,128629399,"36,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,RONALD FLETCHER BAKER LLP [ADVOCATE],128722089,"36,196.82",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,MICHAEL D STRADLING,128872544,"36,196.82",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BDH SOLICITORS,128629251,"36,100.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,ALISTAIR N MACDONALD QC,128895803,"36,032.74",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/14/2013,LEGAL AID FUND - Programme Costs,HARTNELL CHANOT & PARTNERS,128859752,"36,000.25",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,SALLY HOBSON,128896279,"35,976.11",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,MUKHTAR HUSSAIN Q.C.,128887203,"35,916.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,HOGAN BROWN SOLICITORS,128793262,"35,907.79",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STOCK MORAN & SWALWELL,128629178,"35,900.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SHEPHERD REYNOLDS SOLICITORS LTD,128630002,"35,856.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/26/2013,LEGAL AID FUND - Programme Costs,ALAN P KENT QC,128980771,"35,776.42",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,B H MOHAMMED,128979869,"35,760.62",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,CHARLES I SHERRARD,128539250,"35,690.40",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,MOHAMMED & CO,128604121,"35,687.60",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,JOHN FOWLERS LLP,128627243,"35,600.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,RMNJ SOLICITORS ***,128896801,"35,577.86",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,WOOLLCOMBE & YONGE,128630075,"35,557.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,FOYS SOLICITORS,128779445,"35,485.51",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STRAW & PEARCE,128628632,"35,400.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,FORBES SOLICITORS,128793539,"35,332.98",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,CLAIRE L M WILLS-GOLDINGHAM,128752229,"35,301.84",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BLACKWELLS,128629114,"35,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,H ALEXANDER VERDAN,128562259,"35,280.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,128628836,"35,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,LINSKILLS,128628985,"35,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,TIMOTHY J MOLONEY QC,128819550,"35,199.06",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,"GAMMON,PIERCY & GAIGER",128793215,"35,077.72",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/26/2013,LEGAL AID FUND - Programme Costs,LISA M WILDING,128982043,"35,047.14",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,SWAIN & CO SOLICITORS LLP,128627856,"35,000.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BANNER JONES LTD,128628673,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,LUMB & MACGILL,128629113,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,O'REILLYS SOLICITORS LTD,128629285,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,NUNN RICKARD SOLICITOR ADVOCATES,128629450,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MCGRATH & CO SOLICITORS,128629526,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,PS LAW LLP,128629636,"35,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,RONALD FLETCHER BAKER LLP,128629808,"34,972.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,TUCKERS,128560408,"34,958.16",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,128980142,"34,958.16",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SHELLEY & CO,128629753,"34,951.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MARTYN HEWETT,128629317,"34,900.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,NEEDHAM POULIER & PARTNERS,128629851,"34,862.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/14/2013,LEGAL AID FUND - Programme Costs,ANTHONY P HAYDEN,128903759,"34,776.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,DRISCOLL YOUNG SOLICITORS LIMITED,128629653,"34,770.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,WANNOPS LLP,128630422,"34,678.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SHAW GRAHAM KERSH,128628928,"34,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,BLACKETT HART & PRATT LLP,128384573,"34,544.83",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,MARK J TWOMEY,128525540,"34,512.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,PAVLOS P PANAYI,128519027,"34,431.72",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,PAUL MARTIN & CO,128539409,"34,407.46",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,PHILIP HANBY LTD T/A ANDREW JAY & CO,128629720,"34,236.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,CHALLINORS,128629576,"34,200.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,SWITALSKI'S LLP,128751095,"34,200.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,G T STEWART SOLICITORS,128630239,"34,147.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,TAIT FARRIER GRAHAM,128629056,"34,100.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STEVENS SOLICITORS,128629519,"34,100.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,SANDRA FISHER,128756989,"34,016.48",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,HARRIS CUFFARO & NICHOLS,128628718,"34,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,DUNCAN LEWIS,128628890,"34,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,THE PURKISS PRACTICE,128629328,"34,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,JONATHAN S MANN,128580434,"33,947.75",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,DUNCAN LEWIS,125396847,"33,931.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,GORDON YOUNG LAW LLP,129030126,"33,845.16",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/26/2013,LEGAL AID FUND - Programme Costs,ADRIAN M LANGDALE,128981774,"33,808.82",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,BIRMINGHAM CAB SERVICE LTD,127916908,"33,806.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,DAVID RUBIE MITCHELL & CO,128628813,"33,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,RANDELL LLOYD & MARTIN SOLICITORS,128629663,"33,556.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MCSORLEY LEWIS LAW LTD,128628590,"33,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,PETER BIRKETT QC,128851045,"33,470.81",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,GOLDKORNS,128980008,"33,466.19",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,MUSTOE SHORTER SOLICITORS & ADVOCATES LLP,128629462,"33,300.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,SIMON BAKER,128908869,"33,290.70",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,LEIGH DAY & CO,128730618,"33,290.31",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,6/26/2013,LEGAL AID FUND - Programme Costs,E CATRIN JOHN,129015191,"33,264.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,MALCOLM L BISHOP QC,128656971,"33,198.38",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,COOPER - ROLLASON,128630119,"33,182.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,ABR SOLICITORS,128722219,"33,158.11",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,NEUMANS LLP,128629761,"33,088.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,CLAIRE MURDEN,128331053,"33,048.00",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,GUNEY CLARK & RYAN LTD CO,128629813,"33,043.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,SAMUEL STEIN,128768524,"33,022.06",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,6/14/2013,LEGAL AID FUND - Programme Costs,DAVID PHILLIPS & PARTNERS-CLAC,128908429,"33,005.96",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STEPHEN BURDON SOLICITORS,128628663,"33,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,JERMAN SAMUELS & PEARSON LLP,128628725,"33,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BJ & CO SOLICITORS LTD,128628991,"33,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,STEPHEN RIMMER LLP,128629313,"33,000.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/07/2013,LEGAL AID FUND - Programme Costs,SWITALSKI'S LLP,128726259,"32,978.99",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,NATHANIEL D RUDOLF,128540192,"32,957.93",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,ROBERTSON'S SOLICITORS,128629102,"32,900.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,BARKER & CO,128629941,"32,872.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,QUINN MELVILLE,128967038,"32,864.01",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,QUALITYSOLICITORS HPJV,128628562,"32,800.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,PETER A CORRIGAN,128656925,"32,792.04",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,COUSINS TYRER SOLICITORS,128629936,"32,771.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/21/2013,LEGAL AID FUND - Programme Costs,VICKERS CHISMAN & WISHLADE,128980034,"32,750.52",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,KAIM TODNER SOLICITORS LIMITED,128604355,"32,714.59",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,HOWARD & BYRNE SOLICITORS,128560600,"32,697.13",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,FARLEYS SOLICITORS LLP,128858837,"32,620.09",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,TUCKERS SOLICITORS,128628932,"32,600.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/03/2013,LEGAL AID FUND - Programme Costs,JACKSON WEST,128645202,"32,557.70",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,THE COMMUNITY LAW PARTNERSHIP LTD,128627968,"32,512.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,MARY MONSON SOLICITORS,128560727,"32,509.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,GOLDKORNS,128631399,"32,509.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,LLOYDS PR LTD,128631574,"32,509.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,KEITH DYSON & CO,128721703,"32,509.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,SALHAN  & CO LTD,128721736,"32,509.10",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,THE JOHNSON PARTNERSHIP INC:SARAH MARGIOTTA,128628655,"32,500.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,ALBIN & CO,128656410,"32,497.82",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/26/2013,LEGAL AID FUND - Programme Costs,SATYANAND S BEHARRYLALA,128981714,"32,432.28",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,DUNCAN MOGHAL SOLICITORS & ADVOCATES,128586466,"32,411.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,6/14/2013,LEGAL AID FUND - Programme Costs,DIRECT HELP & ADVICE LTD,128907887,"32,403.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,MICHELLE J CORBETT,128782666,"32,400.66",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,SAKHI LEGAL SERVICES LTD,128629701,"32,398.00",Legal Aid Payments: Crime Lower
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,RUSSELL-COOKE LLP,128879425,"32,274.64",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Civil Representation,06/07/2013,LEGAL AID FUND - Programme Costs,COLIN JONES SOLICITOR,128661868,"32,236.78",Legal Aid Payments: Civil Representation
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Legal Help,06/03/2013,LEGAL AID FUND - Programme Costs,GLEDHILL SOLICITORS,128628012,"32,236.00",Legal Aid Payments: Legal Help
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,JOSEPH P HEDWORTH,128519723,"32,209.74",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,6/14/2013,LEGAL AID FUND - Programme Costs,LORD ALEX CARLILE OF BERRIEW,128906542,"32,208.00",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/07/2013,LEGAL AID FUND - Programme Costs,BARK & CO,128760472,"32,190.65",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Higher,06/03/2013,LEGAL AID FUND - Programme Costs,DAVID PHILLIPS & PARTNERS,128580393,"32,132.81",Legal Aid Payments: Crime Higher
MINISTRY OF JUSTICE,LEGAL AID AGENCY,Crime Lower,06/03/2013,LEGAL AID FUND - Programme Costs,JAMES MURRAY SOLICITORS,128628974,"32,000.00",Legal Aid Payments: Crime Lower
