Ministry of Justice,HMCTS,05-Apr-12,311200-Criminal Legal Aid,SL999-Centralised Frontline,MESSRS STEEL & SHAMASH#DX 36503,1989496,"Ł27,025.72",,DX 36503,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1990910,"Ł27,078.00",CIS Labour - Replacement blinds & carpets - PAR 2216 (under term contract) - NORLAND MANAGED SERVICES LTD - Southwark Crown,CIS-SE1 1RU,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,262000-SCA Costs,GZ999-North West Region,UK COURT SERVICES LTD,2017054,"Ł27,124.72",Manchester- UK Court Services Ltd (WR12 7LJ) - Unitary Charges for Manchester PFI - Monthly,WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,MANCHESTER CITY COUNCIL,2006925,"Ł27,251.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,MANCHESTER CITY COUNCIL,1988815,"Ł27,278.25",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,532000-Tangible GBV - Additions,BZ999-London Region,SYKES & SON LTD,617021,"Ł27,399.06",CIS Labour - Provision of a new secure dock in Court 10 - PAR 2185 (under term contract) - SYKES & SON LTD - Stratford MC,CIS-RET-WC2R3JF,0,Programme,,
Ministry of Justice,HMCTS,13-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1996490,"Ł27,608.50","CIS Labour - Fire Risk Assessment Works, including contingency costs - PAR 2235 (under term contract) - NORLAND MANAGED SERVICES LTD - Wimbledon MC",CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1990910,"Ł27,643.00","CIS Labour - Willesden Cty - Norland Managed Service Ltd - Refurbishment & upgrade works, including contingency sums - PAR 2240 (under term contract)",CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,COVENTRY CITY COUNCIL,2006837,"Ł27,709.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,COVENTRY CITY COUNCIL,1988726,"Ł27,736.71",,RATES,0,Programme,,
Ministry of Justice,HMCTS,11-Apr-12,222001-Maintenance,FZ999-Midlands Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1994600,"Ł27,839.72",CIS Labour - Various Midland Courts - Mitie Technical - Reactive maintenance works,CIS-PO1 9DB,0,Programme,,
Ministry of Justice,HMCTS,20-Apr-12,222002-Other Property Costs,BZ999-London Region,HOME OFFICE,1231,"Ł27,880.49",,NP20 9BB,0,Programme,,
Ministry of Justice,HMCTS,11-Apr-12,222001-Maintenance,DZ999-South West Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1994600,"Ł27,919.91","CIS labour - access control system works at Southampton Combined Court, BCP 11/12 (38)",CIS-PO1 9DB,0,Programme,,
Ministry of Justice,HMCTS,18-Apr-12,532000-Tangible GBV - Additions,CZ999-South East Region,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,2003152,"Ł28,053.84",,CIS-LE10 3JF,F081,Programme,,
Ministry of Justice,HMCTS,24-Apr-12,261000-Fuel and Utilities,BZ999-London Region,THAMES WATER UTILITIES LTD,2009681,"Ł28,089.24",HMCS Consolidated - Water Costs - Thames Water 2011/12,SN38 3TW-CONS,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,GZ999-North West Region,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1982661,"Ł28,146.77",Trafford Courthouse - Cells heating ECSC/MW/HMCTS/2011-12/GM003,CIS-SO18 2RZ,0,Programme,,SME
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,2006814,"Ł28,167.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,10-Apr-12,532000-Tangible GBV - Additions,EZ999-Wales Region,ATOS IT SERVICES UK LTD,1990613,"Ł28,179.00",NEWPORT CRN COURT (WALES)  - VIDEO LINKS SOLUTION (C226109) ATOS AO-MOJ-AVM-SOL003,WV10 6UH,0,Programme,,
Ministry of Justice,HMCTS,10-Apr-12,532000-Tangible GBV - Additions,EZ999-Wales Region,ATOS IT SERVICES UK LTD,1990613,"Ł28,179.00",NEWPORT CRN COURT (WALES)  - VIDEO LINKS SOLUTION (C226109) ATOS AO-MOJ-AVM-SOL003,WV10 6UH,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,1988703,"Ł28,195.17",,RATES,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,OXFORD CITY COUNCIL,2006953,"Ł28,396.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,OXFORD CITY COUNCIL,1988844,"Ł28,424.40",,RATES,0,Programme
Ministry of Justice,HMCTS,20-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,2005579,"Ł28,432.00","CCN L-S-3043-02- Provision of Portfolio and Delivery Management, Technical Assurance, Solution Analysis and associated services from 3rd January 2012 to 31st March 2012.",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,24-Apr-12,532000-Tangible GBV - Additions,CZ999-South East Region,CONISTON LIMITED,2009067,"Ł28,463.00",,CIS-DA2 6QQ,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,222002-Other Property Costs,AQ999-HQ - Finance & Governance,MITIE SECURITY LTD,1982976,"Ł28,471.86",Additional Guarding for various tribunals sites until March 2012,MK6 2WX,0,Programme
Ministry of Justice,HMCTS,11-Apr-12,261000-Fuel and Utilities,HZ999-North East Region,BRITISH GAS BUSINESS,1994350,"Ł28,542.88",North East Consol Account - Electricity - British Gas 11-12 contract continuation replacing PO 20000128709,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1989245,"Ł28,565.00","Libra IT Health Check	- L-R-2993-04					",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,EZ999-Wales Region,HENSTAFF CONSTRUCTION LTD,1982755,"Ł28,660.27",CIS Labour - Carmarthen Office - Henstaff Construction Ltd - Move Probate and office staff to MOTO with WAG,CIS-CF10 5AE,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,ATOS IT SERVICES UK LTD,1990613,"Ł28,679.14",Hereford Crown Court - ATOS - AO-MOJ-AVM-SOL003 - Crown Court Solution High Definition Videolink 1,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,20-Apr-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,624917,"Ł28,696.00","CIS Labour - Redecoration & recarpeting to areas as indicated on floor plans LCC, EX, GF and LCC, EX,FF - PAR 2193 (under term contract) - SYKES & SON LTD - Lambeth County",CIS-RET-WC2R3JF,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,DERBY CITY COUNCIL,2006846,"Ł28,854.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,DERBY CITY COUNCIL,1988734,"Ł28,882.85",,RATES,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,261000-Fuel and Utilities,BZ999-London Region,BRITISH GAS BUSINESS,2014579,"Ł28,932.88",London Region Consolidated Electricity Charges - British Gas 2011/12,GU14 3WA,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1990910,"Ł28,935.00","CIS - Labour - Remedial works to tiling throughout the court, including contingency costs - PAR 2230 (under term contract) - NORLAND MANAGED SERVICES LTD - Blackfriars Crown Court",CIS-SE1 1RU,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,223001-Printing Postage and Office expenditure,DZ999-South West Region,ROYAL MAIL GROUP PLC,1984201,"Ł29,201.06",South West Region DA170-223515- Royal Mail Variable Charges10/12,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,20-Apr-12,222003-CIS Labour TFM Estates,FZ999-Midlands Region,G4S INTEGRATED SERVICES (UK) LTD,2005412,"Ł29,423.73",Management Costs,CIS-WR12 7LJ,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1990910,"Ł29,539.83","CIS Labour - PRFD - First Avenue House - Norlands - Fire Risk Assessment works, inc contingency  - PAR 2191 (Under term contract)",CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,BIRMINGHAM CITY COUNCIL,2006783,"Ł29,541.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,BIRMINGHAM CITY COUNCIL,1988674,"Ł29,570.54",,RATES,0,Programme,,
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,CZ999-South East Region,SENATOR INTERNATIONAL,1992589,"Ł29,574.00",Brighton County Court - Senator International Ltd - For the supply of new court room seating for 2 courts,BB5 5YE,0,Programme,,
Ministry of Justice,HMCTS,11-Apr-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,SITEC INTERIORS LTD,1995172,"Ł29,596.53",M/Mids/138/11-CIS Labour-Coventry Combined-Sitec Interiors Ltd-Enabling Works,CIS-B1 3AP,0,Programme,,SME
Ministry of Justice,HMCTS,13-Apr-12,261000-Fuel and Utilities,GZ999-North West Region,UNITED UTILITIES WATER PLC,1997467,"Ł29,600.31",NW regional consolidated A/C - water usage - United Utilities - Apr 11 - Mar 12,WA55 1WB,0,Programme,,
Ministry of Justice,HMCTS,20-Apr-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,624917,"Ł29,616.00","CIS Labour - Fire Risk Assessment Works, including contingency costs - PAR 2206 (under term contract) - SYKES & SON LTD - Croydon Co-located",CIS-RET-WC2R3JF,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,222001-Maintenance,CZ999-South East Region,PROCARE BUILDING SERVICES,1984138,"Ł29,682.21",CIS Labour - Minor Redecoaration Works  - PROCARE BUILDING SERVICES - Basildon Magistrates Court,CIS-WD24 7GP,0,Programme,,
Ministry of Justice,HMCTS,10-Apr-12,532000-Tangible GBV - Additions,FZ999-Midlands Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1990889,"Ł29,792.80","CIS Labour - Stoke Combined Court - Mitiie Technical - Installation of secure dock, alteration of electrics and supply and installation of timber partition",CIS-PO1 9DB,0,Programme,,
Ministry of Justice,HMCTS,27-Apr-12,221000-Property Rent and Rates,FZ999-Midlands Region,HELIX PROPERTIES,2014903,"Ł29,934.00",,W1S 4PS-RENTBUN,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,CITY OF LINCOLN COUNCIL,2006823,"Ł29,999.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,CITY OF LINCOLN COUNCIL,1988711,"Ł30,029.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,NORWICH CITY COUNCIL,2006949,"Ł30,228.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,NORWICH CITY COUNCIL,1988840,"Ł30,258.23",,RATES,0,Programme,,
Ministry of Justice,HMCTS,13-Apr-12,265000-IT & Telecommunications,AP999-HQ - Strategy & Change,ATOS IT SERVICES UK LTD,1996118,"Ł30,386.00",CCN A-R- 02043-01 - REPLACES 20000145023 & 30000018234,WV10 6UH,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,MIDDLESBROUGH COUNCIL,1989531,"Ł30,457.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,MIDDLESBROUGH COUNCIL,1989531,"Ł30,487.46",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS PLEXUS LAW#DX 144481,1989472,"Ł30,605.48",,DX 144481,0,Programme
Ministry of Justice,HMCTS,11-Apr-12,261000-Fuel and Utilities,CZ999-South East Region,BEDFORDSHIRE POLICE AUTHORITY,1994328,"Ł31,111.78",,MK43 9AX,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,265000-IT & Telecommunications,AP999-HQ - Strategy & Change,ATOS IT SERVICES UK LTD,2014499,"Ł31,191.00",A-R-03184-01- Relocation of First Tier Tribunal from Hagley Road to Temple Court,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,18-Apr-12,222001-Maintenance,BZ999-London Region,SYKES & SON LTD,2003813,"Ł31,313.36",SYKES & SON LTD: CIS Labour B&CE  RCJ Monthly Fixed costs- 2011/12,CIS-WC2R 3JY,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,222001-Maintenance,GZ999-North West Region,NG BAILEY FACILITIES SERVICES LTD,1983027,"Ł31,399.60",CIS Labour - Reactive M&E Maintenance Charges for works carried out at Lancashire & Cumbria as at 31st January 2012.,CIS-LS12 6EH,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF CROYDON,2006904,"Ł31,787.00",,RATES,0,Programme
Ministry of Justice,HMCTS,20-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,2005579,"Ł31,792.10","CCN L-S-3043-02- Provision of Portfolio and Delivery Management, Technical Assurance, Solution Analysis and associated services from 3rd January 2012 to 31st March 2012.",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF CROYDON,1988794,"Ł31,818.79",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,HULL CITY COUNCIL,2006884,"Ł31,831.00",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,2006814,"Ł31,831.00",,RATES,0,Programme
Ministry of Justice,HMCTS,04-Apr-12,222001-Maintenance,CZ999-South East Region,PROCARE BUILDING SERVICES,1988545,"Ł31,845.62",CIS Labour-Oxford Magistrates'-Procare Building Services-Removal of internal wall from 1st floor offices under term contract,CIS-WD24 7GP,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,HZ999-North East Region,HULL CITY COUNCIL,1988774,"Ł31,862.83",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,CHELMSFORD BOROUGH COUNCIL,1988703,"Ł31,862.83",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1989245,"Ł31,865.00",L-R-02184-02 Issue 20 Live schemas for Authority review,CF31 9AP,0,Admin
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF BROMLEY,2006902,"Ł32,026.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF BROMLEY,1988792,"Ł32,058.03",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,CITY OF STOKE ON TRENT,2006825,"Ł32,060.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,CITY OF STOKE ON TRENT,1988713,"Ł32,092.06",,RATES,0,Programme
Ministry of Justice,HMCTS,17-Apr-12,222002-Other Property Costs,FZ999-Midlands Region,OPTIC ASSET MANAGEMENT LTD,1999709,"Ł32,252.47",,LS11 0LT-SCHGE,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,265000-IT & Telecommunications,GZ999-North West Region,ATOS IT SERVICES UK LTD,1982308,"Ł32,708.00","CCN A-R-02736-01-V01 - Provide new DISC WAN circuit to uplift existing bandwidth, and decommission Legacy circuit - Burnley MC",WV10 6UH,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,SOUTHAMPTON CITY COUNCIL,2006995,"Ł32,747.00",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,LEICESTER CITY COUNCIL,2006895,"Ł32,747.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,SOUTHAMPTON CITY COUNCIL,1988885,"Ł32,779.75",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,LEICESTER CITY COUNCIL,1988785,"Ł32,779.75",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1989245,"Ł33,170.00","L-S-3366-01 - Disc Space							 						",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF SOUTHWARK,2006920,"Ł33,221.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF SOUTHWARK,1988810,"Ł33,254.22",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,222002-Other Property Costs,SL999-Centralised Frontline,UKI CHARITABLE FOUNDATION,1990549,"Ł33,300.00",,LE1 7GJ,0,Programme
Ministry of Justice,HMCTS,27-Apr-12,261000-Fuel and Utilities,HZ999-North East Region,BRITISH GAS BUSINESS,2014580,"Ł33,334.95",North East Consol Account - Electricity - British Gas 11-12 contract continuation replacing PO 20000128709,OX4 2JY,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,532000-Tangible GBV - Additions,EZ999-Wales Region,ATOS IT SERVICES UK LTD,1990613,"Ł33,375.00",SWANSEA CJC - AO-MOJ-AVM-ITM\16\V2,WV10 6UH,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,LUTON BOROUGH COUNCIL,2006923,"Ł33,434.00",,RATES,0,Programme
Ministry of Justice,HMCTS,17-Apr-12,222001-Maintenance,HZ999-North East Region,TASS EUROPE LTD,1999899,"Ł33,442.45","HA102 - Consolidated - Statutory Testing			",B70 6RP,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF NEWHAM,2006917,"Ł33,460.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,LUTON BOROUGH COUNCIL,1988813,"Ł33,467.43",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,LONDON BOROUGH OF NEWHAM,1988807,"Ł33,493.46",,RATES,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,532000-Tangible GBV - Additions,GZ999-North West Region,GLENBEIGH CONSTRUCTION LTD T/A GLENBEIGH OFF SITE LTD,1982661,"Ł33,825.21",Stockport Courthouse - Cells heating ECSC/MW/HMCTS/2011-12/GM002,CIS-SO18 2RZ,0,Programme,,SME
Ministry of Justice,HMCTS,11-Apr-12,532000-Tangible GBV - Additions,CZ999-South East Region,FRAY DESIGN LIMITED,1994456,"Ł33,968.00",Chelmsford & Colchester-Fray Design-Courtroom loose furniture,BD23 2TZ,F081,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,311200-Criminal Legal Aid,SL999-Centralised Frontline,MESSRS DASS SOLICITORS#DX 149245,612420,"Ł34,174.60",,DX 149245,0,Programme,,
Ministry of Justice,HMCTS,24-Apr-12,532000-Tangible GBV - Additions,BZ999-London Region,MITIE JUSTICE LTD,2009429,"Ł34,276.00",CIS Labour - Replacement of existing R22 Cooling equipment - MITIE JUSTICE LTD -  Barnet Cty,CIS-BS16 7FH,0,Programme,,
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,ST ALBANS CITY & DISTRICT COUNCIL,2006998,"Ł34,350.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,27-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,GZ999-North West Region,HMRC,2014919,"Ł34,377.56",,BN12 4XH,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,ST ALBANS CITY & DISTRICT COUNCIL,1988888,"Ł34,384.35",,RATES,0,Programme,,
Ministry of Justice,HMCTS,03-Apr-12,222001-Maintenance,AG999-HQ - Estates,BEACHCROFT,1982329,"Ł34,520.19",Disposals,BS99 7UR,0,Programme,,SME
Ministry of Justice,HMCTS,17-Apr-12,222001-Maintenance,BZ999-London Region,NORLAND MANAGED SERVICES LTD,1998973,"Ł34,603.00","CIS Labour - Blackfriars Crown - Norland Managed Service Ltd - Redecoration and renewal of carpets to offices, including contingency costs - PAR 2236 (under term contract)",CIS-SE1 1RU,0,Programme,,
Ministry of Justice,HMCTS,20-Apr-12,226000-Court Costs,SL999-Centralised Frontline,MESSRS LEWIS NEDAS & CO#DX 57056,2005075,"Ł34,678.99",,DX 57056,0,Programme,,
Ministry of Justice,HMCTS,24-Apr-12,266000-Judicial Costs,AG999-HQ - Estates,GROUND TRANSPORT LTD,2009222,"Ł34,720.37",Various Judges Lodgings - Ground Transport Ltd - Judicial car provision.,SE11 6DX,0,Programme,,SME
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CITY OF WESTMINSTER,2006826,"Ł34,894.00",,RATES,0,Programme,,
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CITY OF WESTMINSTER,1988714,"Ł34,928.89",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,NORTH SOMERSET COUNCIL,2006946,"Ł35,037.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,NORTH SOMERSET COUNCIL,1988836,"Ł35,072.04",,RATES,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,265000-IT & Telecommunications,AT899-HQ - ICT,LOGICA UK LTD,1990850,"Ł35,171.00","The SUPS database storage facility , which is used primarily for CaseMan and FamiliMan applications is estimated to run out by early September2012. So this CCN is raised to in crease the storage capacity",CF31 9AP,0,Admin
Ministry of Justice,HMCTS,20-Apr-12,222003-CIS Labour TFM Estates,HZ999-North East Region,G4S INTEGRATED SERVICES (UK) LTD,2005411,"Ł35,200.49",Bradford CCC -  office improvements and refurbishment,CIS-S81 7QF,B716,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,BASILDON DISTRICT COUNCIL,2006778,"Ł35,266.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,CZ999-South East Region,BASILDON DISTRICT COUNCIL,1988669,"Ł35,301.27",,RATES,0,Programme
Ministry of Justice,HMCTS,10-Apr-12,222001-Maintenance,BZ999-London Region,EC HARRIS LLP,1990715,"Ł35,341.31",London Estates-EC Harris LLP-TM44 Air Conditioning Inspections & Display Energy Certificate Renewal Fee 2011/12,M60 3NT,0,Programme
Ministry of Justice,HMCTS,17-Apr-12,222003-CIS Labour TFM Estates,BZ999-London Region,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1998919,"Ł35,421.97","CIS Labour-0075-S-WORKS/FM-SW-RFI-Romford County-MITIE TFM-Partition walls, carpeting dado trunking & cabling.  Supply & install of racking in boiler intake rooms. Moving of mains pipe, an condensor unit & install A/C unit",CIS-PO1 9DB,B716,Programme
Ministry of Justice,HMCTS,03-Apr-12,222001-Maintenance,CZ999-South East Region,PROCARE BUILDING SERVICES,1984138,"Ł35,474.10",CIS Labour-Reading County-Procare Building Services-Re-carpet & re-paint 1st floor offices under term contract,CIS-WD24 7GP,0,Programme
Ministry of Justice,HMCTS,03-Apr-12,223001-Printing Postage and Office expenditure,CZ999-South East Region,ROYAL MAIL GROUP PLC,1984201,"Ł35,661.24",SE Regional Royal Mail Variable Charges- 11/12 - Account number 166289000,PE4 5BR,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,WOLVERHAMPTON CITY COUNCIL,2007036,"Ł35,724.00",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,WINCHESTER CITY COUNCIL,2007034,"Ł35,724.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,FZ999-Midlands Region,WOLVERHAMPTON CITY COUNCIL,1988927,"Ł35,759.72",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,DZ999-South West Region,WINCHESTER CITY COUNCIL,1988925,"Ł35,759.72",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CITY OF LONDON,2006824,"Ł35,909.00",,RATES,0,Programme
Ministry of Justice,HMCTS,23-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,EZ999-Wales Region,CARDIFF COUNTY COUNCIL,2006809,"Ł35,934.00",,RATES,0,Programme
Ministry of Justice,HMCTS,05-Apr-12,610400-Debtors <1 year - Prepayments & Accrued Income,BZ999-London Region,CITY OF LONDON,1988712,"Ł35,944.91",,RATES,0,Programme
