Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Children Young People and Families Safeguarding Group,NSPCC,4000060009,"1,000,000.00",Current grant to third sector organisation / not for profit organisation. Specifically this relates to the new grant agreement announced in February 2011 to support NSPCC with £11.2 m between 2011-2015 for continued investment in ChildLine and the NSPCC Helpline,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,TNS UK LTD,4000060024,"53,220.00",Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,22/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DAYCARE TRUST,4000060047,"48,915.99",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Personnel Related,People and Change,EDENRED,4000060103,"60,744.98",Costs related to childcare services provided for staff including the management fee and subsidy costs,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,4.16,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,16.56,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,207,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,101.9,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,"6,158.63",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,"9,721.09",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,573.6,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,183.46,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,109.55,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,116.36,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,"2,320.91",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,198.72,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Families Group,PROLOG,4000060123,426.87,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Safeguarding Group,PROLOG,4000060123,"6,529.93",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Supporting Delivery Group,PROLOG,4000060123,2.08,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,38.33,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,57.96,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,374.52,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,4000060123,"1,753.08",Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,23/08/2011,Marketing and Media,Supporting Children and Young People Group 2,PROLOG,4000060123,262.21,Publications and related services,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BARNSLEY MBC,4000060170,"38,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BARNSLEY MBC,4000060170,"2,851,586.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BATH & NORTH EAST SOMERSET COUNCIL,4000060171,"18,212.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BATH & NORTH EAST SOMERSET COUNCIL,4000060171,"1,447,864.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BEDFORD BOROUGH COUNCIL,4000060172,"24,958.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BEDFORD BOROUGH COUNCIL,4000060172,"1,607,800.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BIRMINGHAM CITY COUNCIL,4000060173,"210,214.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BIRMINGHAM CITY COUNCIL,4000060173,"15,605,142.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000060174,"23,182.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000060174,"2,984,078.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BLACKPOOL BOROUGH COUNCIL,4000060175,"22,121.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BLACKPOOL BOROUGH COUNCIL,4000060175,"2,188,932.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BOLTON MBC,4000060176,"100,364.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BOLTON MBC,4000060176,"3,724,746.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BOURNEMOUTH BOROUGH COUNCIL,4000060177,"40,061.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BOURNEMOUTH BOROUGH COUNCIL,4000060177,"1,691,948.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRACKNELL FOREST BOROUGH COUNCIL,4000060178,"22,152.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BRACKNELL FOREST BOROUGH COUNCIL,4000060178,"1,075,363.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRIGHTON & HOVE CITY COUNCIL,4000060179,"94,849.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BRIGHTON & HOVE CITY COUNCIL,4000060179,"2,676,765.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRISTOL CITY COUNCIL,4000060180,"64,516.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Current Grants,Early Intervention Grant to LAs ,BRISTOL CITY COUNCIL,4000060180,"4,736,547.00",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000060181,"75,910.00",Capital grants paid to Local Authorities,Public Sector
