Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,84.33
Department for Education,DEPARTMENT FOR EDUCATION,29/03/2012,DfE Programme Costs,Families Group,THE FOSTERING NETWORK,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075998,28768.99
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,8.28
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants,Families Group,INTERFACE ASSOCIATES UK LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000075646,119178
Department for Education,DEPARTMENT FOR EDUCATION,02/03/2012,Current Grants,Families Group,PARTNERS OF PRISONERS & FAMILIES SUPPORT,VCS,Current grant to third sector organisation / not for profit organisation,4000073327,39425.3
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,PRISON ADVICE & CARE TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000075493,58358
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Families Group,SPURGEONS,VCS,Current grant to third sector organisation / not for profit organisation,4000075365,52582.39
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,THE CHILDRENS SOCIETY,VCS,Current grant to third sector organisation / not for profit organisation,4000075506,53846.37
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Current Grants,Families Group,THE PLACE2BE,VCS,Current grant to third sector organisation / not for profit organisation,4000073785,87842.88
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,YMCA,VCS,Current grant to third sector organisation / not for profit organisation,4000075528,59580
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,897.74
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Families Group,ACTION FOR CHILDREN,VCS,Current grant to third sector organisation / not for profit organisation,4000075304,215995.63
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Current Grants,Families Group,FATHERHOOD INSTITUTE,VCS,Current grant to third sector organisation / not for profit organisation,4000074295,40303
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,Current Grants,Families Group,INSTITUTE OF WELLBEING LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000073713,45000
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Families Group,INSTITUTE OF WELLBEING LTD,VCS,Current grant to third sector organisation / not for profit organisation,4000075328,45000
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,ONE PLUS ONE,VCS,Current grant to third sector organisation / not for profit organisation,4000075487,39298.95
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Current Grants,Families Group,SCHOOL HOME SUPPORT SERVICES UK,VCS,Current grant to third sector organisation / not for profit organisation,4000074314,96657.05
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Families Group,CHILDRENS LEGAL CENTRE,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074387,44390.99
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,DfE Programme Costs,Families Group,CONTACT A FAMILY,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074523,62029.58
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Families Group,FAMILY LIVES,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074396,131040.38
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Families Group,FAMILY MATTERS INSTITUTE,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074397,25127
Department for Education,DEPARTMENT FOR EDUCATION,30/03/2012,DfE Programme Costs,Families Group,FAMILY RIGHTS GROUP LTD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000076152,47882
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Families Group,GINGERBREAD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074399,28224.66
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,DfE Programme Costs,Families Group,NETMUMS LTD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075663,79677.1
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,DfE Programme Costs,Families Group,YOUNG MINDS,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074455,40501
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Current Grants,Families Group,BOOK TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000073381,841509
Department for Education,DEPARTMENT FOR EDUCATION,02/03/2012,Current Grants to Arms Length Bodies,Families Group,CAFCASS,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000548,10705637
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,Current Grants to Arms Length Bodies,Families Group,CAFCASS,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000573,1100000
Department for Education,DEPARTMENT FOR EDUCATION,12/03/2012,Current Grants,Families Group,CAFCASS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000073970,406737.32
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,CAFCASS,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",4000075455,475000
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000074430,238.05
Department for Education,DEPARTMENT FOR EDUCATION,21/03/2012,Current Grants,Families Group,ASIAN FAMILY COUNSELLING SERVICE,VCS,Current grant to third sector organisation / not for profit organisation,4000075069,25231.78
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,CARE FOR THE FAMILY,VCS,Current grant to third sector organisation / not for profit organisation,4000075457,37584.18
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,Current Grants,Families Group,FAMILIES NEED FATHERS,VCS,Current grant to third sector organisation / not for profit organisation,4000073869,37581.79
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,GINGERBREAD,VCS,Current grant to third sector organisation / not for profit organisation,4000075471,71347.76
Department for Education,DEPARTMENT FOR EDUCATION,23/03/2012,Current Grants,Families Group,MARRIAGE CARE,VCS,Current grant to third sector organisation / not for profit organisation,4000075341,88200
Department for Education,DEPARTMENT FOR EDUCATION,13/03/2012,Current Grants,Families Group,ONE PLUS ONE,VCS,Current grant to third sector organisation / not for profit organisation,4000074108,158190.9
Department for Education,DEPARTMENT FOR EDUCATION,05/03/2012,Current Grants,Families Group,RELATE,VCS,Current grant to third sector organisation / not for profit organisation,4000073410,505384.68
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2012,Current Grants,Families Group,TAVISTOCK CENTRE FOR COUPLE RELATIONSHIPS,VCS,Current grant to third sector organisation / not for profit organisation,4000073917,89393.5
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Families Group,THE CENTRE FOR SEPARATED FAMILIES,VCS,Current grant to third sector organisation / not for profit organisation,4000075505,36172.09
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Current Grants,Families Group,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,Public Sector,"Current grant paid to organisations including agencies, arms length bodies and educational establishments",2000563,200000
Department for Education,DEPARTMENT FOR EDUCATION,08/03/2012,ICT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,Commercial,Costs related to the provision of IT costs,4000073724,199062.19
Department for Education,DEPARTMENT FOR EDUCATION,16/03/2012,Marketing and Media,Children Young People and Families Safeguarding Group,PROLOG,Commercial,Publications and related services,4000074430,4313.87
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Current Grants,Children Young People and Families Safeguarding Group,CHILDRENS LEGAL CENTRE,VCS,Current grant to third sector organisation / not for profit organisation,4000074519,33247.77
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,DfE Programme Costs,Children Young People and Families Safeguarding Group,DIANA PRINCESS  MEMORIAL AWARD,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000074529,54694.8
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Current Grants,Children Young People and Families Safeguarding Group,FATHERHOOD INSTITUTE,VCS,Current grant to third sector organisation / not for profit organisation,4000075469,35327
Department for Education,DEPARTMENT FOR EDUCATION,19/03/2012,Professional Services Other,Children Young People and Families Safeguarding Group,HMCTS HM COURTS & TRIBUNALS SERVICE,Public Sector,Costs related to legal Services provided by the Treasury Solicitor for litigation activity,4000074543,49969.84
Department for Education,DEPARTMENT FOR EDUCATION,26/03/2012,Professional Services Other,Children Young People and Families Safeguarding Group,TREASURY SOLICITOR TSOL,Public Sector,Costs related to legal Services provided by the Treasury Solicitor for litigation activity,4000075516,6664.4
Department for Education,DEPARTMENT FOR EDUCATION,28/03/2012,DfE Programme Costs,Safeguarding Group,CAPITA BUSINESS SERVICES LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000075625,105864.65
Department for Education,DEPARTMENT FOR EDUCATION,01/03/2012,Current Grants,Safeguarding Group,LONDON BOROUGH OF BARNET COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000073238,40000
Department for Education,DEPARTMENT FOR EDUCATION,15/03/2012,Current Grants,Safeguarding Group,REDBRIDGE COUNCIL FOR VOLUNTARY SERVICE,VCS,Current grant paid to local authorities within the aggregate external funding total,4000074310,32849
Department for Education,DEPARTMENT FOR EDUCATION,22/03/2012,Current Grants,Children Young People and Families Supporting Delivery Group,LOCAL GOVERNMENT IMPROVEMENT & DEVELOPMENT,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000075201,424725
Department for Education,DEPARTMENT FOR EDUCATION,14/03/2012,Current Grants,Children Young People and Families Supporting Delivery Group,DONCASTER METROPOLITAN BOROUGH COUNCIL,Public Sector,Current grant paid to local authorities within the aggregate external funding total,4000074203,51642.03
