Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Defence Equipment & Support,SPECIALIST TECHNOLOGIES LTD,629098,1068
Ministry of Defence,Ministry of Defence,04/05/2010,Food and clothing,Defence Equipment & Support,SODEXO LTD,628426,1061.09
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,636147,1054.44
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,634723,1045.9
Ministry of Defence,Ministry of Defence,13/05/2010,Estate management,Defence Equipment & Support,WILLIS LIMITED,633927,1040
Ministry of Defence,Ministry of Defence,27/05/2010,Miscellaneous Administration Costs,Central TLB,XMA LTD,641876,1038.89
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Defence Estates,THE TREASURY SOLICITOR,636818,1037.76
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Navy Command,LYRECO UK LTD,633548,1020.77
Ministry of Defence,Ministry of Defence,14/05/2010,Service and civilian recruitment,Navy Command,TMP (UK) LIMITED,634657,1020
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,633944,1011.6
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Estates,CARWOOD MOTOR UNITS LTD,630250,1005.76
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Air Command,SODEXO LTD,629907,1003.29
Ministry of Defence,Ministry of Defence,10/05/2010,General services and support,Land Forces,CANON (UK) LIMITED,631113,1001.02
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,631015,994.65
Ministry of Defence,Ministry of Defence,10/05/2010,IT and communication services,Defence Estates,CANON (UK) LIMITED,631113,989.62
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Defence Equipment & Support,C F ANDERSON & SON LIMITED,639809,985.8
Ministry of Defence,Ministry of Defence,07/05/2010,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,ROLLS-ROYCE POWER ENGINEERING PLC,630828,978.27
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,977.04
Ministry of Defence,Ministry of Defence,25/05/2010,IT and communication services,Command Joint Operations,PARADIGM SERVICES LTD,640201,977.01
Ministry of Defence,Ministry of Defence,18/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,635638,964.23
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,VIRGIN ATLANTIC AIRWAYS LIMITED,640385,957
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Air Command,CANON (UK) LIMITED,630236,955.41
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,636140,953.91
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,641883,953.81
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Navy Command,VEOLIA ES (UK) LIMITED,631742,948
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,631024,945.56
Ministry of Defence,Ministry of Defence,21/05/2010,Miscellaneous Administration Costs,Command Joint Operations,ASPIRE DEFENCE LIMITED,637577,944.65
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Defence Equipment & Support,TOTAL GAS & POWER LIMITED,642582,943.15
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,640418,940.93
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,637532,935.38
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,633202,929.9
Ministry of Defence,Ministry of Defence,10/05/2010,General services and support,Navy Command,CANON (UK) LIMITED,631113,929.29
Ministry of Defence,Ministry of Defence,07/05/2010,"Transportation of personnel, freight and travel expenses",Command Joint Operations,DB SCHENKER RAIL (UK) LTD,630295,913.07
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Land Forces,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LIMITED,640000,912.52
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,635470,911.15
Ministry of Defence,Defence Support Group,24/05/2010,General training,Business Stream 2,THE ACCOUNTING OFFIC,426942,900
Ministry of Defence,Ministry of Defence,07/05/2010,"Transportation of personnel, freight and travel expenses",Land Forces,DB SCHENKER RAIL (UK) LTD,630295,894.29
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,892.5
Ministry of Defence,Ministry of Defence,19/05/2010,Food and clothing,Land Forces,SODEXO LTD,636753,873.39
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,635470,869.66
Ministry of Defence,Defence Support Group,12/05/2010,Telecoms op. costs,Business Stream 1,THE ACCOUNTING OFFIC,424049,867.33
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Air Command,VIRGIN ATLANTIC AIRWAYS LIMITED,640385,867
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Air Command,ITURRI SA,3000004261,864.81
Ministry of Defence,Ministry of Defence,10/05/2010,Miscellaneous Administration Costs,Central TLB,CANON (UK) LIMITED,631113,861.37
Ministry of Defence,Ministry of Defence,28/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,642054,852.93
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Navy Command,OFFICE DEPOT UK LTD,635918,848.83
Ministry of Defence,Ministry of Defence,11/05/2010,"Transportation of personnel, freight and travel expenses",Navy Command,CARTUS LTD,631890,843.89
Ministry of Defence,Ministry of Defence,04/05/2010,Payments on behalf of Defence Support Group,Central TLB,ARAMARK LTD,628026,843.17
Ministry of Defence,Ministry of Defence,19/05/2010,Payments on behalf of Defence Support Group,Central TLB,ARAMARK LTD,636174,843.17
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,GOVERNMENT COMMUNICATIONS H Q,2.00E+11,832
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Defence Equipment & Support,LYRECO UK LTD,633548,828.95
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Navy Command,VT FLAGSHIP LTD,636124,828
Ministry of Defence,Ministry of Defence,28/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,641883,827.48
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Defence Estates,ASPIRE DEFENCE LIMITED,631811,827.03
Ministry of Defence,Ministry of Defence,28/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,642620,824.25
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,635479,823.89
Ministry of Defence,Ministry of Defence,20/05/2010,Building maintenance and accommodation stores,Air Command,L WHITAKER & SONS (1983) LIMITED,637177,822.98
Ministry of Defence,Ministry of Defence,06/05/2010,Payment of utilities,Central TLB,TOTAL GAS & POWER LIMITED,629986,821.26
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Staff Training,Programme Office,BARCLAYCARD,G - 9000123135 - 00082571,821.13
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,ANTEON LIMITED,630124,817.89
Ministry of Defence,Ministry of Defence,24/05/2010,Purchase of inventory and services ,Defence Estates,CANON (UK) LIMITED,638481,816.62
Ministry of Defence,Defence Support Group,12/05/2010,Electricity,Business Stream 1,THE ACCOUNTING OFFIC,424049,813.71
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Defence Estates,WYG MANAGEMENT SERVICES LIMITED,638396,800
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Central TLB,LYRECO UK LTD,640017,792.91
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,KENYON ROAD HAULAGE LTD,641518,785
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Defence Equipment & Support,ARAMARK LTD,638427,776.85
Ministry of Defence,Ministry of Defence,04/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,628469,776.69
Ministry of Defence,Ministry of Defence,19/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,636826,772.63
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,636881,759.65
Ministry of Defence,Ministry of Defence,06/05/2010,Food and clothing,Defence Equipment & Support,NORTHERN DIVER (INTERNATIONAL) LTD,629752,756.7
Ministry of Defence,Ministry of Defence,28/05/2010,Payment of utilities,Land Forces,E.ON UK PLC,642068,752.4
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,637532,751.34
Ministry of Defence,Ministry of Defence,14/05/2010,Purchase of inventory and services ,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),5000034959,750.77
Ministry of Defence,Ministry of Defence,10/05/2010,IT and communication services,Central TLB,CANON (UK) LIMITED,631113,745.89
Ministry of Defence,Ministry of Defence,10/05/2010,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,631174,744.07
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Land Forces,ITURRI SA,3000004229,738.82
Ministry of Defence,Ministry of Defence,05/05/2010,Payment of utilities,Air Command,TOTAL GAS & POWER LIMITED,629153,737.2
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Navy Command,COMPASS CONTRACT SERVICES (U K)LIMITED,628655,735.07
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Land Forces,TURNER VIRR & CO. LTD,642596,728.51
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Command Joint Operations,CARTUS LTD,632561,723.5
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of inventory and services ,Navy Command,PITNEY BOWES LIMITED,640994,710.88
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Defence Estates,RAIL SETTLEMENT PLAN LIMITED,641696,706.8
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,639714,705.36
Ministry of Defence,Ministry of Defence,19/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,636147,704.42
Ministry of Defence,Ministry of Defence,04/05/2010,Estate management,Defence Estates,ARAMARK LTD,628026,693.93
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Publications/Subscriptions,Operations,BARCLAYCARD,G - 9000123135 - 00082571,689.74
Ministry of Defence,Ministry of Defence,19/05/2010,Miscellaneous Administration Costs,Central TLB,SERCO LIMITED,636740,688.27
Ministry of Defence,Ministry of Defence,13/05/2010,Purchase of inventory and services ,Central TLB,XMA LTD,633935,685.93
Ministry of Defence,Ministry of Defence,20/05/2010,Design services and minor equipment purchases,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,670.37
Ministry of Defence,Ministry of Defence,06/05/2010,Medical treatment & stores and welfare services.,Air Command,HONEYBEERECRUITMENT.COM LTD,135105,669.13
Ministry of Defence,Ministry of Defence,04/05/2010,Miscellaneous Administration Costs,Land Forces,CANON (UK) LIMITED,5000034168,664.86
Ministry of Defence,Ministry of Defence,21/05/2010,Fees for professional services,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,637713,659.71
Ministry of Defence,Ministry of Defence,20/05/2010,Food and clothing,Command Joint Operations,TURNER VIRR & CO. LTD,637494,658
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Staff Recruitment Costs,Corporate,BARCLAYCARD,G - 9000123135 - 00082571,645.2
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Other Services & Office costs,Corporate,BARCLAYCARD,G - 9000123135 - 00082571,643.9
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Navy Command,OFFICE DEPOT UK LTD,632200,633.57
Ministry of Defence,Defence Support Group,12/05/2010,Telecoms op. costs,Business Stream 1,THE ACCOUNTING OFFIC,424049,632.07
Ministry of Defence,Ministry of Defence,05/05/2010,IT and communication services,Air Command,XMA LTD,629200,627.83
Ministry of Defence,Ministry of Defence,24/05/2010,IT and communication services,Central TLB,CANON (UK) LIMITED,638481,619.71
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Land Forces,KASHKET & PARTNERS LIMITED,631322,611.45
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Central TLB,DEBUT SERVICES (SOUTH WEST)LIMITED,637728,608.8
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Navy Command,CANON (UK) LIMITED,631113,605.76
Ministry of Defence,Ministry of Defence,25/05/2010,IT and communication services,Air Command,VEGA CONSULTING SERVICES LTD,640382,603
Ministry of Defence,Ministry of Defence,10/05/2010,Design services and minor equipment purchases,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,631748,599.81
Ministry of Defence,Ministry of Defence,20/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,637051,593.49
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Consumable Materials,Corporate,BARCLAYCARD,G - 9000123135 - 00082571,593.22
Ministry of Defence,Ministry of Defence,26/05/2010,"Transporation of personnel, freight and travel expenses",Air Command,VIRGIN ATLANTIC AIRWAYS LIMITED,641179,593
Ministry of Defence,Ministry of Defence,19/05/2010,Estate management,Defence Estates,DEFENCE SUPPORT GROUP  (DSG),636287,591.17
Ministry of Defence,Ministry of Defence,12/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,632430,581.38
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Defence Equipment & Support,OFFICE DEPOT UK LTD,635918,574.67
Ministry of Defence,Ministry of Defence,11/05/2010,Purchase of inventory and services ,Defence Estates,OFFICE DEPOT UK LTD,632200,573.42
Ministry of Defence,Ministry of Defence,11/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,632400,573.3
Ministry of Defence,Ministry of Defence,19/05/2010,"Transporation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,636691,573
Ministry of Defence,Ministry of Defence,19/05/2010,Payment of utilities,Navy Command,BRITISH GAS TRADING LIMITED,636225,568.26
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,641216,565.97
Ministry of Defence,Ministry of Defence,28/05/2010,Food and clothing,Land Forces,SODEXO LTD,642505,565.34
Ministry of Defence,Ministry of Defence,27/05/2010,Fees for professional services,Command Joint Operations,CORPORATE DOCUMENT SERVICES  LIMITED,641357,565
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Defence Equipment & Support,RAIL SETTLEMENT PLAN LIMITED,641696,563.3
Ministry of Defence,Ministry of Defence,25/05/2010,Food and clothing,Air Command,SODEXO LTD,640286,557.28
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Command Joint Operations,RAIL SETTLEMENT PLAN LIMITED,641696,556
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,631024,555.37
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Defence Estates,SODEXO LTD,629092,553.86
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Defence Equipment & Support,SODEXO LTD,630874,552.26
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,630084,550.26
Ministry of Defence,Ministry of Defence,10/05/2010,"Adminstration, claims, compensation and awards",Defence Equipment & Support,CANON (UK) LIMITED,631113,548.56
Ministry of Defence,Ministry of Defence,06/05/2010,"Transportation of personnel, freight and travel expenses",Air Command,VIRGIN ATLANTIC AIRWAYS LIMITED,630043,548
Ministry of Defence,Ministry of Defence,21/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,638312,544.04
Ministry of Defence,Ministry of Defence,10/05/2010,Estate management,Defence Equipment & Support,VEOLIA ES (UK) LIMITED,631742,541.36
Ministry of Defence,Ministry of Defence,24/05/2010,General services and support,Navy Command,CANON (UK) LIMITED,638481,541.02
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,638399,537.59
Ministry of Defence,Ministry of Defence,12/05/2010,Payment of utilities,Command Joint Operations,ELECTRICITY AUTHORITY OF CYPRUS,4000004337,532.25
Ministry of Defence,Ministry of Defence,26/05/2010,Preparation of land & buildings for disposal,Defence Estates,TURNER ESTATE SOLUTIONS LIMITED,641158,529.92
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Energy & Utility,Operations,BARCLAYCARD,G - 9000123135 - 00082571,525.41
Ministry of Defence,Ministry of Defence,19/05/2010,Design services and minor equipment purchases,Land Forces,ELECTRO SERVICES (MIDLANDS) LTD,636334,525
Ministry of Defence,Ministry of Defence,20/05/2010,IT and communication services,Defence Equipment & Support,XMA LTD,637532,524.12
Ministry of Defence,Ministry of Defence,07/05/2010,Miscellaneous Administration Costs,Defence Estates,CANON (UK) LIMITED,630236,522.6
Ministry of Defence,Ministry of Defence,14/05/2010,Food and clothing,Central TLB,COMPASS CONTRACT SERVICES (U K)LIMITED,634091,519.05
Ministry of Defence,Ministry of Defence,17/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,635470,511.77
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,630040,510.5
Ministry of Defence,Ministry of Defence,21/05/2010,Estate management,Land Forces,VEOLIA ES (UK) LIMITED,638350,510.5
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Air Command,PLANT SPEED LIMITED,640214,510.25
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,GE AVIATION SYSTEMS LIMITED,630408,509.98
Ministry of Defence,Ministry of Defence,24/05/2010,Rental of plant and machinery,Central TLB,CANON (UK) LIMITED,638481,506.46
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Command Joint Operations,CRIMINAL RECORDS BUREAU,636276,504
Ministry of Defence,Ministry of Defence,27/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,641876,502.96
Ministry of Defence,Ministry of Defence,28/05/2010,Preparation of land & buildings for disposal,Defence Estates,DEPARTMENT FOR REGIONAL DEVELOPMENT,29302,501.33
Ministry of Defence,Ministry of Defence,07/05/2010,Rental of plant and machinery,Land Forces,CANON (UK) LIMITED,630236,500.01
Ministry of Defence,Ministry of Defence,27/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,KENYON ROAD HAULAGE LTD,641518,500
Ministry of Defence,Ministry of Defence,24/05/2010,Design services and minor equipment purchases,Defence Equipment & Support,CANON (UK) LIMITED,638481,494.71
Ministry of Defence,Ministry of Defence,21/05/2010,Payments made in advance,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,637737,486
Ministry of Defence,Ministry of Defence,18/05/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,635479,481.64
Ministry of Defence,Ministry of Defence,24/05/2010,General services and support,Air Command,CANON (UK) LIMITED,638481,481.03
Ministry of Defence,Ministry of Defence,06/05/2010,Estate management,Defence Equipment & Support,VEOLIA ES (UK) LIMITED,630040,480
Ministry of Defence,Ministry of Defence,24/05/2010,Miscellaneous Administration Costs,Defence Estates,CANON (UK) LIMITED,638481,478.97
Ministry of Defence,Ministry of Defence,12/05/2010,Payment of utilities,Defence Estates,DEFENCE SUPPORT GROUP  (DSG),632616,477.72
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Defence Estates,XMA LTD,628501,477.37
Ministry of Defence,Defence Support Group,12/05/2010,Telecoms op. costs,Business Stream 1,THE ACCOUNTING OFFIC,424049,476.96
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Defence Estates,RICOH UK LIMITED.,637373,475.86
Ministry of Defence,Ministry of Defence,10/05/2010,Food and clothing,Air Command,ITURRI SA,3000004175,474.82
Ministry of Defence,Ministry of Defence,14/05/2010,Fees for professional services,Central TLB,DENTON WILDE SAPTE LLP,634128,474.4
Ministry of Defence,Ministry of Defence,17/05/2010,Payment of utilities,Defence Estates,GB OILS LIMITED,634974,474.01
Ministry of Defence,Ministry of Defence,11/05/2010,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,632382,469.22
Ministry of Defence,Ministry of Defence,12/05/2010,"Transporation of personnel, freight and travel expenses",Navy Command,DHL GLOBAL FORWARDING (UK)  LIMITED,632622,468.02
Ministry of Defence,Defence Science and Technology Laboratory,21/05/2010,Fixtures & Fittings costs,Operations,BARCLAYCARD,G - 9000123135 - 00082571,466.6
Ministry of Defence,Ministry of Defence,19/05/2010,Fees for professional services,Central TLB,WORDWAVE INTERNATIONAL LIMITED,636878,462.24
Ministry of Defence,Ministry of Defence,25/05/2010,Payment of utilities,Navy Command,TOTAL GAS & POWER LIMITED,640362,461.9
Ministry of Defence,Ministry of Defence,18/05/2010,IT and communication services,Defence Equipment & Support,XMA LTD,636140,459.05
Ministry of Defence,Ministry of Defence,06/05/2010,Food and clothing,Central TLB,TURNER VIRR & CO. LTD,630003,458.25
Ministry of Defence,Ministry of Defence,10/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,631776,458.22
Ministry of Defence,Ministry of Defence,13/05/2010,Payment of utilities,Defence Estates,E.ON,5000034883,454.85
Ministry of Defence,Ministry of Defence,05/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,628508,454.37
Ministry of Defence,Ministry of Defence,13/05/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,633785,444.26
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,639714,437.88
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,431.55
Ministry of Defence,Ministry of Defence,04/05/2010,Design services and minor equipment purchases,Air Command,QINETIQ LIMITED,628364,430
Ministry of Defence,Ministry of Defence,18/05/2010,Estate management,Navy Command,COMPASS SERVICES (U.K.) LIMITED,635604,428.32
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Air Command,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LIMITED,640000,426.45
Ministry of Defence,Ministry of Defence,14/05/2010,Design services and minor equipment purchases,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,634697,425.3
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,637542,424.75
Ministry of Defence,Ministry of Defence,26/05/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,640418,419.89
Ministry of Defence,Ministry of Defence,10/05/2010,Food and clothing,Land Forces,ITURRI SA,3000004175,413.94
Ministry of Defence,Ministry of Defence,05/05/2010,Estate management,Air Command,SODEXO LTD,629092,413.47
Ministry of Defence,Ministry of Defence,07/05/2010,Purchase of inventory and services ,Defence Equipment & Support,HENRY SCHEIN UK HOLDINGS LIMITED,630444,412.59
Ministry of Defence,Ministry of Defence,11/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,632400,411.41
Ministry of Defence,Ministry of Defence,06/05/2010,Building maintenance and accommodation stores,Air Command,L WHITAKER & SONS (1983) LIMITED,629602,410.03
Ministry of Defence,Ministry of Defence,24/05/2010,Design services and minor equipment purchases,Land Forces,CANON (UK) LIMITED,638481,401.59
Ministry of Defence,Ministry of Defence,07/05/2010,Design services and minor equipment purchases,Land Forces,CANON (UK) LIMITED,630236,386.82
Ministry of Defence,Ministry of Defence,25/05/2010,Estate management,Central TLB,COMPASS CONTRACT SERVICES (U K)LIMITED,639844,385.46
Ministry of Defence,Ministry of Defence,27/05/2010,Design services and minor equipment purchases,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,641860,385.01
Ministry of Defence,Ministry of Defence,21/05/2010,Purchase of inventory and services ,Navy Command,XMA LTD,638399,384.33
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Command Joint Operations,THYSSENKRUPP AEROSPACE UK LTD,637476,384.01
Ministry of Defence,Ministry of Defence,07/05/2010,"Transportation of personnel, freight and travel expenses",Land Forces,CTS (GB) LIMITED,630289,381.35
Ministry of Defence,Ministry of Defence,24/05/2010,IT and communication services,Land Forces,CANON (UK) LIMITED,638481,378.66
Ministry of Defence,Ministry of Defence,25/05/2010,Purchase of inventory and services ,Central TLB,KONICA MINOLTA BUSINESS SOLUTIONS (UK) LIMITED,640000,376.78
Ministry of Defence,Ministry of Defence,19/05/2010,Official entertainment and hospitality.,Central TLB,SERCO LIMITED,636740,373.11
Ministry of Defence,Ministry of Defence,20/05/2010,Purchase of inventory and services ,Central TLB,L WHITAKER & SONS (1983) LIMITED,637177,369.12
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Land Forces,CARTUS LTD,639820,368.7
Ministry of Defence,Ministry of Defence,04/05/2010,Purchase of inventory and services ,Command Joint Operations,ROYSTON LTD,628397,367.53
Ministry of Defence,Ministry of Defence,24/05/2010,Estate management,Central TLB,ARAMARK LTD,638427,362.13
Ministry of Defence,Ministry of Defence,07/05/2010,Estate management,Central TLB,COMPASS CONTRACT SERVICES (U K)LIMITED,630279,352.62
Ministry of Defence,Ministry of Defence,10/05/2010,Payments on behalf of Defence Support Group,Central TLB,VEOLIA ES (UK) LIMITED,631742,352.5
Ministry of Defence,Ministry of Defence,11/05/2010,Payment of utilities,Air Command,SSE ENERGY SUPPLY LIMITED,632317,350.22
Ministry of Defence,Defence Support Group,12/05/2010,Telecoms op. costs,Business Stream 1,THE ACCOUNTING OFFIC,424049,347.43
Ministry of Defence,Ministry of Defence,28/05/2010,Fees for professional services,Air Command,CORPORATE DOCUMENT SERVICES  LIMITED,642027,344.62
Ministry of Defence,Ministry of Defence,25/05/2010,"Transporation of personnel, freight and travel expenses",Defence Estates,CARTUS LTD,639820,343.88
Ministry of Defence,Ministry of Defence,07/05/2010,Payment of utilities,Central TLB,SSE ENERGY SUPPLY LIMITED,630898,343.06
Ministry of Defence,Ministry of Defence,10/05/2010,Miscellaneous Administration Costs,Land Forces,CANON (UK) LIMITED,631113,339.95
Ministry of Defence,Ministry of Defence,04/05/2010,IT and communication services,Air Command,XMA LTD,628501,338.16
Ministry of Defence,Ministry of Defence,14/05/2010,Estate management,Air Command,VINCI CONSTRUCTION UK LTD,634694,335.23
